ocel_id;ocel_time;ocel_changed_field;Silo Status;Temperature;Humidity;Silo Temperature;Grain Temperature
Silo24;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo98;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo45;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo71;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo74;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo94;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo39;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo72;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo73;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo92;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo89;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo42;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo41;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo62;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo75;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo80;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo43;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo47;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo2;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo6;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo56;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo61;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo85;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo66;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo25;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
Silo91;2024-03-03 15:00:00;;occupied;0.0;0.0;0.0;0.0
