ocel_event_id;ocel_object_id;ocel_qualifier
Lodge_Pcp1963;Pcp1963;lodged pickup plan
Lodge_Pcp1963;Cr1407;cargo to be picked up
assign_trs_Pcp1922;tr140;Pickup plan trucks assignment
assign_trs_Pcp1922;tr291;Pickup plan trucks assignment
assign_trs_Pcp1922;tr151;Pickup plan trucks assignment
assign_trs_Pcp1922;tr262;Pickup plan trucks assignment
trs_entrytr140;tr140;Entry evaluation for truck
weigh_empty_trucktr140;tr140;Empty truck weighed
trs_entrytr262;tr262;Entry evaluation for truck
trs_entrytr151;tr151;Entry evaluation for truck
trs_entrytr291;tr291;Entry evaluation for truck
weigh_empty_trucktr151;tr151;Empty truck weighed
weigh_empty_trucktr262;tr262;Empty truck weighed
weigh_empty_trucktr291;tr291;Empty truck weighed
check_abnormalitytr140;tr140;truck exmained for empty weight abnormality
check_abnormalitytr291;tr291;truck exmained for empty weight abnormality
check_abnormalitytr262;tr262;truck exmained for empty weight abnormality
check_abnormalitytr151;tr151;truck exmained for empty weight abnormality
arrive_at_Silo47;Silo47;Silo for truck load
fail_weightr151;tr151;Truck failed to be weighed
determine_continuanceSilo47;Silo47;silo evaluated for pickup continuance
arrive_at_Silo47;Silo47;Silo for truck load
arrive_at_Silo47;Silo47;Silo for truck load
load_trucktr140;tr140;cargo load for truck
determine_continuanceSilo47;Silo47;silo evaluated for pickup continuance
determine_continuanceSilo47;Silo47;silo evaluated for pickup continuance
load_trucktr291;tr291;cargo load for truck
load_trucktr262;tr262;cargo load for truck
weigh_loaded_trucktr140;tr140;Truck weighed
weigh_loaded_trucktr291;tr291;Truck weighed
weigh_loaded_trucktr262;tr262;Truck weighed
assign_trs_Pcp1020;tr113;Pickup plan trucks assignment
assign_trs_Pcp1020;tr252;Pickup plan trucks assignment
assign_trs_Pcp1020;tr135;Pickup plan trucks assignment
assign_trs_Pcp1020;tr238;Pickup plan trucks assignment
assign_trs_Pcp1020;tr157;Pickup plan trucks assignment
input_tally_sheettr140;tr140;Tally Sheet for pickup plan
print_w_tickettr140;tr140;Printed weighing ticket for pickup plan
assign_trs_Pcp1020;tr143;Pickup plan trucks assignment
assign_trs_Pcp1020;tr236;Pickup plan trucks assignment
eval_trs_exittr140_Pcp1922;tr140;Exit evaluation for truck
input_tally_sheettr262;tr262;Tally Sheet for pickup plan
print_w_tickettr262;tr262;Printed weighing ticket for pickup plan
print_w_tickettr291;tr291;Printed weighing ticket for pickup plan
input_tally_sheettr291;tr291;Tally Sheet for pickup plan
trs_entrytr252;tr252;Entry evaluation for truck
trs_entrytr113;tr113;Entry evaluation for truck
eval_trs_exittr262_Pcp1922;tr262;Exit evaluation for truck
eval_trs_exittr291_Pcp1922;tr291;Exit evaluation for truck
trs_entrytr157;tr157;Entry evaluation for truck
trs_entrytr135;tr135;Entry evaluation for truck
trs_entrytr238;tr238;Entry evaluation for truck
trs_entrytr143;tr143;Entry evaluation for truck
trs_entrytr236;tr236;Entry evaluation for truck
weigh_empty_trucktr113;tr113;Empty truck weighed
weigh_empty_trucktr252;tr252;Empty truck weighed
weigh_empty_trucktr157;tr157;Empty truck weighed
weigh_empty_trucktr238;tr238;Empty truck weighed
weigh_empty_trucktr135;tr135;Empty truck weighed
assign_trs_Pcp1911;tr69;Pickup plan trucks assignment
assign_trs_Pcp1911;tr199;Pickup plan trucks assignment
assign_trs_Pcp1911;tr33;Pickup plan trucks assignment
assign_trs_Pcp1911;tr13;Pickup plan trucks assignment
assign_trs_Pcp1911;tr94;Pickup plan trucks assignment
assign_trs_Pcp1911;tr239;Pickup plan trucks assignment
weigh_empty_trucktr236;tr236;Empty truck weighed
weigh_empty_trucktr143;tr143;Empty truck weighed
check_abnormalitytr157;tr157;truck exmained for empty weight abnormality
check_abnormalitytr135;tr135;truck exmained for empty weight abnormality
check_abnormalitytr238;tr238;truck exmained for empty weight abnormality
check_abnormalitytr113;tr113;truck exmained for empty weight abnormality
check_abnormalitytr252;tr252;truck exmained for empty weight abnormality
assign_trs_Pcp1963;tr219;Pickup plan trucks assignment
Lodge_Pcp551;Pcp551;lodged pickup plan
Lodge_Pcp551;Cr395;cargo to be picked up
assign_trs_Pcp1963;tr176;Pickup plan trucks assignment
assign_trs_Pcp1963;tr184;Pickup plan trucks assignment
assign_trs_Pcp1963;tr119;Pickup plan trucks assignment
assign_trs_Pcp1963;tr175;Pickup plan trucks assignment
assign_trs_Pcp1963;tr46;Pickup plan trucks assignment
check_abnormalitytr143;tr143;truck exmained for empty weight abnormality
check_abnormalitytr236;tr236;truck exmained for empty weight abnormality
fail_weightr238;tr238;Truck failed to be weighed
fail_weightr113;tr113;Truck failed to be weighed
trs_entrytr69;tr69;Entry evaluation for truck
trs_entrytr199;tr199;Entry evaluation for truck
trs_entrytr33;tr33;Entry evaluation for truck
trs_entrytr94;tr94;Entry evaluation for truck
trs_entrytr239;tr239;Entry evaluation for truck
trs_entrytr13;tr13;Entry evaluation for truck
fail_weightr236;tr236;Truck failed to be weighed
fail_weightr143;tr143;Truck failed to be weighed
arrive_at_Silo9;Silo9;Silo for truck load
weigh_empty_trucktr33;tr33;Empty truck weighed
weigh_empty_trucktr199;tr199;Empty truck weighed
weigh_empty_trucktr69;tr69;Empty truck weighed
arrive_at_Silo9;Silo9;Silo for truck load
arrive_at_Silo9;Silo9;Silo for truck load
weigh_empty_trucktr94;tr94;Empty truck weighed
weigh_empty_trucktr239;tr239;Empty truck weighed
weigh_empty_trucktr13;tr13;Empty truck weighed
determine_continuanceSilo9;Silo9;silo evaluated for pickup continuance
determine_continuanceSilo9;Silo9;silo evaluated for pickup continuance
determine_continuanceSilo9;Silo9;silo evaluated for pickup continuance
load_trucktr252;tr252;cargo load for truck
check_abnormalitytr199;tr199;truck exmained for empty weight abnormality
check_abnormalitytr69;tr69;truck exmained for empty weight abnormality
check_abnormalitytr33;tr33;truck exmained for empty weight abnormality
load_trucktr135;tr135;cargo load for truck
load_trucktr157;tr157;cargo load for truck
check_abnormalitytr94;tr94;truck exmained for empty weight abnormality
check_abnormalitytr239;tr239;truck exmained for empty weight abnormality
check_abnormalitytr13;tr13;truck exmained for empty weight abnormality
trs_entrytr176;tr176;Entry evaluation for truck
trs_entrytr219;tr219;Entry evaluation for truck
trs_entrytr119;tr119;Entry evaluation for truck
trs_entrytr175;tr175;Entry evaluation for truck
trs_entrytr184;tr184;Entry evaluation for truck
trs_entrytr46;tr46;Entry evaluation for truck
fail_weightr69;tr69;Truck failed to be weighed
weigh_empty_trucktr176;tr176;Empty truck weighed
weigh_empty_trucktr219;tr219;Empty truck weighed
weigh_empty_trucktr119;tr119;Empty truck weighed
weigh_empty_trucktr184;tr184;Empty truck weighed
weigh_empty_trucktr175;tr175;Empty truck weighed
weigh_empty_trucktr46;tr46;Empty truck weighed
arrive_at_Silo55;Silo55;Silo for truck load
arrive_at_Silo55;Silo55;Silo for truck load
arrive_at_Silo55;Silo55;Silo for truck load
arrive_at_Silo55;Silo55;Silo for truck load
arrive_at_Silo55;Silo55;Silo for truck load
check_abnormalitytr219;tr219;truck exmained for empty weight abnormality
check_abnormalitytr176;tr176;truck exmained for empty weight abnormality
check_abnormalitytr46;tr46;truck exmained for empty weight abnormality
check_abnormalitytr175;tr175;truck exmained for empty weight abnormality
check_abnormalitytr119;tr119;truck exmained for empty weight abnormality
check_abnormalitytr184;tr184;truck exmained for empty weight abnormality
determine_continuanceSilo55;Silo55;silo evaluated for pickup continuance
determine_continuanceSilo55;Silo55;silo evaluated for pickup continuance
determine_continuanceSilo55;Silo55;silo evaluated for pickup continuance
determine_continuanceSilo55;Silo55;silo evaluated for pickup continuance
determine_continuanceSilo55;Silo55;silo evaluated for pickup continuance
Lodge_Pcp1188;Pcp1188;lodged pickup plan
Lodge_Pcp1188;Cr219;cargo to be picked up
load_trucktr33;tr33;cargo load for truck
load_trucktr199;tr199;cargo load for truck
load_trucktr13;tr13;cargo load for truck
load_trucktr239;tr239;cargo load for truck
load_trucktr94;tr94;cargo load for truck
weigh_loaded_trucktr252;tr252;Truck weighed
fail_weightr46;tr46;Truck failed to be weighed
fail_weightr119;tr119;Truck failed to be weighed
weigh_loaded_trucktr157;tr157;Truck weighed
weigh_loaded_trucktr135;tr135;Truck weighed
assign_trs_Pcp551;tr169;Pickup plan trucks assignment
assign_trs_Pcp551;tr75;Pickup plan trucks assignment
assign_trs_Pcp551;tr167;Pickup plan trucks assignment
assign_trs_Pcp551;tr161;Pickup plan trucks assignment
assign_trs_Pcp551;tr101;Pickup plan trucks assignment
arrive_at_Silo70;Silo70;Silo for truck load
arrive_at_Silo70;Silo70;Silo for truck load
arrive_at_Silo70;Silo70;Silo for truck load
arrive_at_Silo70;Silo70;Silo for truck load
determine_continuanceSilo70;Silo70;silo evaluated for pickup continuance
determine_continuanceSilo70;Silo70;silo evaluated for pickup continuance
Lodge_Pcp1008;Pcp1008;lodged pickup plan
Lodge_Pcp1008;Cr1395;cargo to be picked up
determine_continuanceSilo70;Silo70;silo evaluated for pickup continuance
determine_continuanceSilo70;Silo70;silo evaluated for pickup continuance
Lodge_Pcp1913;Pcp1913;lodged pickup plan
Lodge_Pcp1913;Cr966;cargo to be picked up
load_trucktr219;tr219;cargo load for truck
weigh_loaded_trucktr33;tr33;Truck weighed
weigh_loaded_trucktr199;tr199;Truck weighed
load_trucktr176;tr176;cargo load for truck
weigh_loaded_trucktr13;tr13;Truck weighed
weigh_loaded_trucktr94;tr94;Truck weighed
weigh_loaded_trucktr239;tr239;Truck weighed
input_tally_sheettr135;tr135;Tally Sheet for pickup plan
print_w_tickettr135;tr135;Printed weighing ticket for pickup plan
input_tally_sheettr157;tr157;Tally Sheet for pickup plan
print_w_tickettr157;tr157;Printed weighing ticket for pickup plan
load_trucktr175;tr175;cargo load for truck
load_trucktr184;tr184;cargo load for truck
input_tally_sheettr252;tr252;Tally Sheet for pickup plan
print_w_tickettr252;tr252;Printed weighing ticket for pickup plan
eval_trs_exittr157_Pcp1020;tr157;Exit evaluation for truck
eval_trs_exittr135_Pcp1020;tr135;Exit evaluation for truck
trs_entrytr169;tr169;Entry evaluation for truck
trs_entrytr167;tr167;Entry evaluation for truck
trs_entrytr161;tr161;Entry evaluation for truck
trs_entrytr75;tr75;Entry evaluation for truck
trs_entrytr101;tr101;Entry evaluation for truck
eval_trs_exittr252_Pcp1020;tr252;Exit evaluation for truck
weigh_empty_trucktr169;tr169;Empty truck weighed
weigh_empty_trucktr161;tr161;Empty truck weighed
weigh_empty_trucktr101;tr101;Empty truck weighed
weigh_empty_trucktr75;tr75;Empty truck weighed
weigh_empty_trucktr167;tr167;Empty truck weighed
print_w_tickettr199;tr199;Printed weighing ticket for pickup plan
print_w_tickettr33;tr33;Printed weighing ticket for pickup plan
input_tally_sheettr33;tr33;Tally Sheet for pickup plan
input_tally_sheettr199;tr199;Tally Sheet for pickup plan
print_w_tickettr239;tr239;Printed weighing ticket for pickup plan
input_tally_sheettr239;tr239;Tally Sheet for pickup plan
input_tally_sheettr94;tr94;Tally Sheet for pickup plan
input_tally_sheettr13;tr13;Tally Sheet for pickup plan
print_w_tickettr13;tr13;Printed weighing ticket for pickup plan
print_w_tickettr94;tr94;Printed weighing ticket for pickup plan
eval_trs_exittr33_Pcp1911;tr33;Exit evaluation for truck
eval_trs_exittr199_Pcp1911;tr199;Exit evaluation for truck
eval_trs_exittr94_Pcp1911;tr94;Exit evaluation for truck
eval_trs_exittr13_Pcp1911;tr13;Exit evaluation for truck
eval_trs_exittr239_Pcp1911;tr239;Exit evaluation for truck
weigh_loaded_trucktr176;tr176;Truck weighed
weigh_loaded_trucktr219;tr219;Truck weighed
weigh_loaded_trucktr175;tr175;Truck weighed
weigh_loaded_trucktr184;tr184;Truck weighed
check_abnormalitytr169;tr169;truck exmained for empty weight abnormality
check_abnormalitytr101;tr101;truck exmained for empty weight abnormality
check_abnormalitytr167;tr167;truck exmained for empty weight abnormality
check_abnormalitytr75;tr75;truck exmained for empty weight abnormality
check_abnormalitytr161;tr161;truck exmained for empty weight abnormality
assign_trs_Pcp1188;tr100;Pickup plan trucks assignment
assign_trs_Pcp1188;tr108;Pickup plan trucks assignment
assign_trs_Pcp1188;tr215;Pickup plan trucks assignment
assign_trs_Pcp1188;tr51;Pickup plan trucks assignment
assign_trs_Pcp1188;tr90;Pickup plan trucks assignment
assign_trs_Pcp1188;tr217;Pickup plan trucks assignment
fail_weightr167;tr167;Truck failed to be weighed
fail_weightr101;tr101;Truck failed to be weighed
print_w_tickettr219;tr219;Printed weighing ticket for pickup plan
input_tally_sheettr219;tr219;Tally Sheet for pickup plan
input_tally_sheettr176;tr176;Tally Sheet for pickup plan
print_w_tickettr176;tr176;Printed weighing ticket for pickup plan
arrive_at_Silo31;Silo31;Silo for truck load
arrive_at_Silo31;Silo31;Silo for truck load
arrive_at_Silo31;Silo31;Silo for truck load
eval_trs_exittr219_Pcp1963;tr219;Exit evaluation for truck
eval_trs_exittr176_Pcp1963;tr176;Exit evaluation for truck
determine_continuanceSilo31;Silo31;silo evaluated for pickup continuance
input_tally_sheettr184;tr184;Tally Sheet for pickup plan
input_tally_sheettr175;tr175;Tally Sheet for pickup plan
print_w_tickettr184;tr184;Printed weighing ticket for pickup plan
print_w_tickettr175;tr175;Printed weighing ticket for pickup plan
determine_continuanceSilo31;Silo31;silo evaluated for pickup continuance
determine_continuanceSilo31;Silo31;silo evaluated for pickup continuance
assign_trs_Pcp1008;tr256;Pickup plan trucks assignment
assign_trs_Pcp1008;tr88;Pickup plan trucks assignment
assign_trs_Pcp1008;tr259;Pickup plan trucks assignment
assign_trs_Pcp1008;tr216;Pickup plan trucks assignment
assign_trs_Pcp1008;tr56;Pickup plan trucks assignment
assign_trs_Pcp1008;tr85;Pickup plan trucks assignment
load_trucktr169;tr169;cargo load for truck
trs_entrytr100;tr100;Entry evaluation for truck
load_trucktr75;tr75;cargo load for truck
load_trucktr161;tr161;cargo load for truck
trs_entrytr215;tr215;Entry evaluation for truck
trs_entrytr108;tr108;Entry evaluation for truck
trs_entrytr51;tr51;Entry evaluation for truck
trs_entrytr90;tr90;Entry evaluation for truck
assign_trs_Pcp1913;tr77;Pickup plan trucks assignment
assign_trs_Pcp1913;tr228;Pickup plan trucks assignment
assign_trs_Pcp1913;tr235;Pickup plan trucks assignment
trs_entrytr217;tr217;Entry evaluation for truck
eval_trs_exittr184_Pcp1963;tr184;Exit evaluation for truck
eval_trs_exittr175_Pcp1963;tr175;Exit evaluation for truck
assign_trs_Pcp1913;tr250;Pickup plan trucks assignment
weigh_empty_trucktr100;tr100;Empty truck weighed
weigh_empty_trucktr51;tr51;Empty truck weighed
weigh_empty_trucktr215;tr215;Empty truck weighed
weigh_empty_trucktr90;tr90;Empty truck weighed
weigh_empty_trucktr108;tr108;Empty truck weighed
weigh_empty_trucktr217;tr217;Empty truck weighed
check_abnormalitytr100;tr100;truck exmained for empty weight abnormality
check_abnormalitytr90;tr90;truck exmained for empty weight abnormality
check_abnormalitytr108;tr108;truck exmained for empty weight abnormality
check_abnormalitytr51;tr51;truck exmained for empty weight abnormality
check_abnormalitytr215;tr215;truck exmained for empty weight abnormality
check_abnormalitytr217;tr217;truck exmained for empty weight abnormality
trs_entrytr256;tr256;Entry evaluation for truck
trs_entrytr88;tr88;Entry evaluation for truck
trs_entrytr85;tr85;Entry evaluation for truck
trs_entrytr56;tr56;Entry evaluation for truck
trs_entrytr77;tr77;Entry evaluation for truck
trs_entrytr259;tr259;Entry evaluation for truck
trs_entrytr216;tr216;Entry evaluation for truck
trs_entrytr235;tr235;Entry evaluation for truck
trs_entrytr228;tr228;Entry evaluation for truck
fail_weightr100;tr100;Truck failed to be weighed
weigh_loaded_trucktr161;tr161;Truck weighed
weigh_loaded_trucktr75;tr75;Truck weighed
trs_entrytr250;tr250;Entry evaluation for truck
fail_weightr90;tr90;Truck failed to be weighed
fail_weightr215;tr215;Truck failed to be weighed
fail_weightr108;tr108;Truck failed to be weighed
weigh_loaded_trucktr169;tr169;Truck weighed
weigh_empty_trucktr256;tr256;Empty truck weighed
weigh_empty_trucktr88;tr88;Empty truck weighed
weigh_empty_trucktr216;tr216;Empty truck weighed
weigh_empty_trucktr77;tr77;Empty truck weighed
weigh_empty_trucktr235;tr235;Empty truck weighed
weigh_empty_trucktr259;tr259;Empty truck weighed
weigh_empty_trucktr228;tr228;Empty truck weighed
weigh_empty_trucktr85;tr85;Empty truck weighed
weigh_empty_trucktr56;tr56;Empty truck weighed
weigh_empty_trucktr250;tr250;Empty truck weighed
arrive_at_Silo90;Silo90;Silo for truck load
arrive_at_Silo90;Silo90;Silo for truck load
Lodge_Pcp435;Pcp435;lodged pickup plan
Lodge_Pcp435;Cr1399;cargo to be picked up
determine_continuanceSilo90;Silo90;silo evaluated for pickup continuance
determine_continuanceSilo90;Silo90;silo evaluated for pickup continuance
check_abnormalitytr256;tr256;truck exmained for empty weight abnormality
check_abnormalitytr88;tr88;truck exmained for empty weight abnormality
print_w_tickettr75;tr75;Printed weighing ticket for pickup plan
input_tally_sheettr75;tr75;Tally Sheet for pickup plan
input_tally_sheettr161;tr161;Tally Sheet for pickup plan
print_w_tickettr161;tr161;Printed weighing ticket for pickup plan
check_abnormalitytr259;tr259;truck exmained for empty weight abnormality
check_abnormalitytr85;tr85;truck exmained for empty weight abnormality
check_abnormalitytr77;tr77;truck exmained for empty weight abnormality
check_abnormalitytr56;tr56;truck exmained for empty weight abnormality
check_abnormalitytr235;tr235;truck exmained for empty weight abnormality
check_abnormalitytr228;tr228;truck exmained for empty weight abnormality
check_abnormalitytr216;tr216;truck exmained for empty weight abnormality
check_abnormalitytr250;tr250;truck exmained for empty weight abnormality
load_trucktr51;tr51;cargo load for truck
print_w_tickettr169;tr169;Printed weighing ticket for pickup plan
input_tally_sheettr169;tr169;Tally Sheet for pickup plan
load_trucktr217;tr217;cargo load for truck
fail_weightr256;tr256;Truck failed to be weighed
eval_trs_exittr75_Pcp551;tr75;Exit evaluation for truck
eval_trs_exittr161_Pcp551;tr161;Exit evaluation for truck
fail_weightr216;tr216;Truck failed to be weighed
fail_weightr259;tr259;Truck failed to be weighed
eval_trs_exittr169_Pcp551;tr169;Exit evaluation for truck
arrive_at_Silo9;Silo9;Silo for truck load
arrive_at_Silo9;Silo9;Silo for truck load
arrive_at_Silo98;Silo98;Silo for truck load
arrive_at_Silo98;Silo98;Silo for truck load
arrive_at_Silo9;Silo9;Silo for truck load
arrive_at_Silo98;Silo98;Silo for truck load
arrive_at_Silo98;Silo98;Silo for truck load
Lodge_Pcp1410;Pcp1410;lodged pickup plan
Lodge_Pcp1410;Cr1576;cargo to be picked up
determine_continuanceSilo9;Silo9;silo evaluated for pickup continuance
determine_continuanceSilo98;Silo98;silo evaluated for pickup continuance
determine_continuanceSilo9;Silo9;silo evaluated for pickup continuance
determine_continuanceSilo9;Silo9;silo evaluated for pickup continuance
determine_continuanceSilo98;Silo98;silo evaluated for pickup continuance
determine_continuanceSilo98;Silo98;silo evaluated for pickup continuance
determine_continuanceSilo98;Silo98;silo evaluated for pickup continuance
load_trucktr88;tr88;cargo load for truck
load_trucktr85;tr85;cargo load for truck
load_trucktr77;tr77;cargo load for truck
load_trucktr228;tr228;cargo load for truck
load_trucktr56;tr56;cargo load for truck
load_trucktr235;tr235;cargo load for truck
load_trucktr250;tr250;cargo load for truck
weigh_loaded_trucktr51;tr51;Truck weighed
weigh_loaded_trucktr217;tr217;Truck weighed
weigh_loaded_trucktr88;tr88;Truck weighed
weigh_loaded_trucktr235;tr235;Truck weighed
weigh_loaded_trucktr77;tr77;Truck weighed
weigh_loaded_trucktr228;tr228;Truck weighed
weigh_loaded_trucktr56;tr56;Truck weighed
weigh_loaded_trucktr85;tr85;Truck weighed
weigh_loaded_trucktr250;tr250;Truck weighed
print_w_tickettr51;tr51;Printed weighing ticket for pickup plan
input_tally_sheettr51;tr51;Tally Sheet for pickup plan
input_tally_sheettr217;tr217;Tally Sheet for pickup plan
print_w_tickettr217;tr217;Printed weighing ticket for pickup plan
eval_trs_exittr51_Pcp1188;tr51;Exit evaluation for truck
eval_trs_exittr217_Pcp1188;tr217;Exit evaluation for truck
Lodge_Pcp247;Pcp247;lodged pickup plan
Lodge_Pcp247;Cr942;cargo to be picked up
print_w_tickettr88;tr88;Printed weighing ticket for pickup plan
input_tally_sheettr88;tr88;Tally Sheet for pickup plan
print_w_tickettr85;tr85;Printed weighing ticket for pickup plan
print_w_tickettr77;tr77;Printed weighing ticket for pickup plan
input_tally_sheettr85;tr85;Tally Sheet for pickup plan
input_tally_sheettr228;tr228;Tally Sheet for pickup plan
input_tally_sheettr77;tr77;Tally Sheet for pickup plan
print_w_tickettr228;tr228;Printed weighing ticket for pickup plan
input_tally_sheettr56;tr56;Tally Sheet for pickup plan
print_w_tickettr56;tr56;Printed weighing ticket for pickup plan
input_tally_sheettr235;tr235;Tally Sheet for pickup plan
print_w_tickettr235;tr235;Printed weighing ticket for pickup plan
assign_trs_Pcp435;tr158;Pickup plan trucks assignment
assign_trs_Pcp435;tr47;Pickup plan trucks assignment
assign_trs_Pcp435;tr153;Pickup plan trucks assignment
