ocel_id;ocel_time;ocel_changed_field;Cargo Type;Cargo stock weight(scheduled);Silo ID
Cr5;2024-03-03 15:00:00;;Wheat;32212.5;Silo40
Cr986;2024-03-03 15:00:00;;Potato;61912.3;Silo22
Cr419;2024-03-03 15:00:00;;Corn;63424.9;Silo21
Cr896;2024-03-03 15:00:00;;Wheat;39030.6;Silo6
Cr1363;2024-03-03 15:00:00;;Wheat;48404.4;Silo86
Cr65;2024-03-03 15:00:00;;Potato;29447.2;Silo14
Cr95;2024-03-03 15:00:00;;Rice;62228.6;Silo29
Cr1237;2024-03-03 15:00:00;;Rice;36981.5;Silo3
Cr1831;2024-03-03 15:00:00;;Other;35161.2;Silo12
Cr831;2024-03-03 15:00:00;;Corn;50622.3;Silo70
Cr1488;2024-03-03 15:00:00;;Corn;55634.9;Silo12
Cr1122;2024-03-03 15:00:00;;Wheat;45020.6;Silo24
Cr1052;2024-03-03 15:00:00;;Corn;44485.6;Silo97
Cr231;2024-03-03 15:00:00;;Other;48815.9;Silo71
Cr1435;2024-03-03 15:00:00;;Wheat;55152.9;Silo11
Cr634;2024-03-03 15:00:00;;Wheat;28901.6;Silo69
Cr1309;2024-03-03 15:00:00;;Other;26783.3;Silo97
Cr539;2024-03-03 15:00:00;;Rice;47097.4;Silo1
Cr293;2024-03-03 15:00:00;;Wheat;36414.4;Silo32
Cr1178;2024-03-03 15:00:00;;Rice;45987.2;Silo10
Cr727;2024-03-03 15:00:00;;Rice;37706.0;Silo71
Cr1885;2024-03-03 15:00:00;;Rice;26828.1;Silo21
Cr697;2024-03-03 15:00:00;;Rice;35142.6;Silo36
Cr63;2024-03-03 15:00:00;;Other;62676.1;Silo55
Cr1191;2024-03-03 15:00:00;;Potato;56062.2;Silo1
Cr1814;2024-03-03 15:00:00;;Wheat;62748.6;Silo15
Cr179;2024-03-03 15:00:00;;Rice;34204.1;Silo58
Cr1112;2024-03-03 15:00:00;;Other;41766.6;Silo84
Cr863;2024-03-03 15:00:00;;Rice;31730.1;Silo92
Cr1545;2024-03-03 15:00:00;;Rice;28779.8;Silo77
Cr35;2024-03-03 15:00:00;;Wheat;49134.4;Silo71
Cr809;2024-03-03 15:00:00;;Rice;54992.6;Silo85
Cr866;2024-03-03 15:00:00;;Corn;56296.0;Silo71
Cr1535;2024-03-03 15:00:00;;Wheat;56359.3;Silo86
Cr945;2024-03-03 15:00:00;;Wheat;52975.6;Silo41
Cr64;2024-03-03 15:00:00;;Other;50771.9;Silo2
Cr302;2024-03-03 15:00:00;;Wheat;57269.9;Silo56
Cr290;2024-03-03 15:00:00;;Other;53765.1;Silo48
Cr675;2024-03-03 15:00:00;;Potato;61801.8;Silo67
Cr253;2024-03-03 15:00:00;;Other;64795.5;Silo86
Cr1382;2024-03-03 15:00:00;;Other;63006.1;Silo51
Cr435;2024-03-03 15:00:00;;Corn;59889.0;Silo28
Cr1196;2024-03-03 15:00:00;;Rice;41250.7;Silo19
Cr1448;2024-03-03 15:00:00;;Rice;63821.4;Silo67
Cr762;2024-03-03 15:00:00;;Rice;54830.5;Silo20
Cr1848;2024-03-03 15:00:00;;Potato;63051.6;Silo42
Cr1146;2024-03-03 15:00:00;;Corn;29999.1;Silo61
Cr478;2024-03-03 15:00:00;;Corn;37352.8;Silo97
Cr27;2024-03-03 15:00:00;;Potato;35889.8;Silo32
Cr655;2024-03-03 15:00:00;;Potato;33801.9;Silo50
Cr1544;2024-03-03 15:00:00;;Rice;64844.7;Silo66
Cr1681;2024-03-03 15:00:00;;Corn;55243.1;Silo81
Cr964;2024-03-03 15:00:00;;Corn;61913.8;Silo7
Cr1588;2024-03-03 15:00:00;;Wheat;58577.4;Silo41
Cr323;2024-03-03 15:00:00;;Other;31005.1;Silo61
Cr933;2024-03-03 15:00:00;;Wheat;43036.5;Silo69
Cr1489;2024-03-03 15:00:00;;Rice;31046.7;Silo3
Cr562;2024-03-03 15:00:00;;Wheat;35047.0;Silo90
Cr250;2024-03-03 15:00:00;;Wheat;56782.8;Silo35
Cr578;2024-03-03 15:00:00;;Corn;61572.7;Silo85
Cr1894;2024-03-03 15:00:00;;Potato;35851.8;Silo96
Cr51;2024-03-03 15:00:00;;Corn;32456.4;Silo45
Cr36;2024-03-03 15:00:00;;Rice;31178.8;Silo85
Cr1215;2024-03-03 15:00:00;;Wheat;42002.8;Silo93
Cr1776;2024-03-03 15:00:00;;Potato;63783.1;Silo42
Cr977;2024-03-03 15:00:00;;Wheat;46253.9;Silo20
Cr48;2024-03-03 15:00:00;;Rice;26755.2;Silo52
Cr1670;2024-03-03 15:00:00;;Potato;57767.9;Silo25
Cr1072;2024-03-03 15:00:00;;Potato;51756.8;Silo79
Cr1073;2024-03-03 15:00:00;;Rice;45009.0;Silo49
Cr1638;2024-03-03 15:00:00;;Potato;63600.3;Silo50
Cr1413;2024-03-03 15:00:00;;Corn;52048.6;Silo58
Cr1455;2024-03-03 15:00:00;;Rice;35500.8;Silo17
Cr733;2024-03-03 15:00:00;;Wheat;62447.6;Silo46
Cr477;2024-03-03 15:00:00;;Corn;25823.6;Silo73
Cr915;2024-03-03 15:00:00;;Potato;56100.2;Silo59
Cr1458;2024-03-03 15:00:00;;Rice;52336.9;Silo76
Cr732;2024-03-03 15:00:00;;Other;64354.2;Silo8
Cr1713;2024-03-03 15:00:00;;Other;27380.2;Silo48
Cr735;2024-03-03 15:00:00;;Other;47140.1;Silo47
Cr1069;2024-03-03 15:00:00;;Rice;46233.4;Silo40
Cr728;2024-03-03 15:00:00;;Wheat;57326.0;Silo8
Cr1047;2024-03-03 15:00:00;;Other;44428.8;Silo66
Cr1059;2024-03-03 15:00:00;;Other;40589.3;Silo21
Cr16;2024-03-03 15:00:00;;Rice;37490.3;Silo72
Cr980;2024-03-03 15:00:00;;Wheat;25852.9;Silo43
Cr992;2024-03-03 15:00:00;;Other;31686.3;Silo81
Cr2000;2024-03-03 15:00:00;;Other;61349.8;Silo26
Cr1354;2024-03-03 15:00:00;;Potato;49080.9;Silo12
Cr482;2024-03-03 15:00:00;;Other;39921.7;Silo49
Cr698;2024-03-03 15:00:00;;Other;34675.4;Silo88
Cr1653;2024-03-03 15:00:00;;Corn;35467.3;Silo74
Cr125;2024-03-03 15:00:00;;Corn;59193.9;Silo81
Cr925;2024-03-03 15:00:00;;Corn;51571.1;Silo51
Cr510;2024-03-03 15:00:00;;Wheat;64288.7;Silo64
Cr1815;2024-03-03 15:00:00;;Wheat;31121.7;Silo32
Cr58;2024-03-03 15:00:00;;Rice;49075.6;Silo93
Cr1672;2024-03-03 15:00:00;;Other;37609.1;Silo92
Cr1866;2024-03-03 15:00:00;;Corn;32109.1;Silo46
Cr1229;2024-03-03 15:00:00;;Wheat;48001.8;Silo77
Cr211;2024-03-03 15:00:00;;Wheat;41980.6;Silo55
Cr1770;2024-03-03 15:00:00;;Potato;25423.6;Silo23
Cr1244;2024-03-03 15:00:00;;Rice;45366.3;Silo40
Cr766;2024-03-03 15:00:00;;Rice;35636.5;Silo40
Cr1153;2024-03-03 15:00:00;;Corn;55318.1;Silo80
Cr721;2024-03-03 15:00:00;;Corn;26351.7;Silo14
Cr61;2024-03-03 15:00:00;;Wheat;45311.8;Silo4
Cr1579;2024-03-03 15:00:00;;Potato;34199.5;Silo30
Cr115;2024-03-03 15:00:00;;Rice;63832.6;Silo26
Cr446;2024-03-03 15:00:00;;Corn;30774.5;Silo71
Cr267;2024-03-03 15:00:00;;Potato;35614.2;Silo59
Cr1918;2024-03-03 15:00:00;;Other;58471.8;Silo68
Cr679;2024-03-03 15:00:00;;Rice;38087.7;Silo67
Cr1499;2024-03-03 15:00:00;;Corn;49111.6;Silo23
Cr393;2024-03-03 15:00:00;;Rice;39432.8;Silo21
Cr501;2024-03-03 15:00:00;;Other;42463.4;Silo91
Cr1920;2024-03-03 15:00:00;;Corn;41370.7;Silo61
Cr998;2024-03-03 15:00:00;;Wheat;30109.1;Silo30
Cr417;2024-03-03 15:00:00;;Wheat;29669.4;Silo4
Cr612;2024-03-03 15:00:00;;Wheat;25300.7;Silo100
Cr873;2024-03-03 15:00:00;;Wheat;39383.5;Silo11
Cr1274;2024-03-03 15:00:00;;Potato;58978.1;Silo65
Cr1556;2024-03-03 15:00:00;;Rice;59410.2;Silo75
Cr204;2024-03-03 15:00:00;;Rice;52345.3;Silo37
Cr777;2024-03-03 15:00:00;;Other;50339.9;Silo87
Cr1397;2024-03-03 15:00:00;;Other;59386.1;Silo35
Cr1812;2024-03-03 15:00:00;;Other;50591.8;Silo14
Cr966;2024-03-03 15:00:00;;Corn;26314.9;Silo98
Cr1172;2024-03-03 15:00:00;;Wheat;47294.2;Silo13
Cr114;2024-03-03 15:00:00;;Other;57208.7;Silo84
Cr1377;2024-03-03 15:00:00;;Other;62584.0;Silo90
Cr574;2024-03-03 15:00:00;;Potato;35274.1;Silo98
Cr336;2024-03-03 15:00:00;;Wheat;35242.1;Silo16
Cr1211;2024-03-03 15:00:00;;Rice;34329.4;Silo26
Cr702;2024-03-03 15:00:00;;Other;54950.8;Silo4
Cr178;2024-03-03 15:00:00;;Rice;38569.5;Silo52
Cr1917;2024-03-03 15:00:00;;Potato;51246.9;Silo2
Cr1423;2024-03-03 15:00:00;;Other;39069.2;Silo15
Cr70;2024-03-03 15:00:00;;Other;43681.3;Silo7
Cr202;2024-03-03 15:00:00;;Corn;51016.4;Silo56
Cr750;2024-03-03 15:00:00;;Corn;26242.3;Silo64
Cr544;2024-03-03 15:00:00;;Other;32128.9;Silo15
Cr934;2024-03-03 15:00:00;;Wheat;30175.5;Silo9
Cr1037;2024-03-03 15:00:00;;Rice;38605.0;Silo38
Cr1380;2024-03-03 15:00:00;;Other;51302.4;Silo100
Cr1169;2024-03-03 15:00:00;;Other;25296.7;Silo93
Cr604;2024-03-03 15:00:00;;Wheat;48444.6;Silo54
Cr104;2024-03-03 15:00:00;;Corn;26137.0;Silo75
Cr163;2024-03-03 15:00:00;;Corn;44432.5;Silo41
Cr431;2024-03-03 15:00:00;;Potato;35958.9;Silo69
Cr1132;2024-03-03 15:00:00;;Wheat;45043.6;Silo60
Cr973;2024-03-03 15:00:00;;Rice;59583.2;Silo23
Cr1401;2024-03-03 15:00:00;;Rice;59941.4;Silo77
Cr271;2024-03-03 15:00:00;;Rice;42147.1;Silo11
Cr392;2024-03-03 15:00:00;;Wheat;34921.4;Silo32
Cr1465;2024-03-03 15:00:00;;Other;50660.8;Silo100
Cr859;2024-03-03 15:00:00;;Corn;38950.1;Silo92
Cr718;2024-03-03 15:00:00;;Other;58012.0;Silo49
Cr177;2024-03-03 15:00:00;;Wheat;49572.2;Silo68
Cr1496;2024-03-03 15:00:00;;Other;28883.5;Silo91
Cr168;2024-03-03 15:00:00;;Corn;44215.0;Silo79
Cr1009;2024-03-03 15:00:00;;Wheat;57979.5;Silo93
Cr434;2024-03-03 15:00:00;;Corn;35760.2;Silo34
Cr1164;2024-03-03 15:00:00;;Corn;34872.3;Silo37
Cr625;2024-03-03 15:00:00;;Corn;26515.4;Silo29
Cr369;2024-03-03 15:00:00;;Wheat;39149.9;Silo37
Cr1478;2024-03-03 15:00:00;;Potato;39245.7;Silo23
Cr987;2024-03-03 15:00:00;;Potato;63565.3;Silo37
Cr681;2024-03-03 15:00:00;;Rice;45549.1;Silo81
Cr527;2024-03-03 15:00:00;;Wheat;64011.3;Silo27
Cr491;2024-03-03 15:00:00;;Other;33868.6;Silo82
Cr1829;2024-03-03 15:00:00;;Rice;49895.6;Silo98
Cr71;2024-03-03 15:00:00;;Corn;52269.4;Silo60
Cr246;2024-03-03 15:00:00;;Potato;30238.9;Silo92
Cr1050;2024-03-03 15:00:00;;Other;25358.1;Silo27
Cr165;2024-03-03 15:00:00;;Other;48035.9;Silo6
Cr1493;2024-03-03 15:00:00;;Corn;48570.1;Silo12
Cr912;2024-03-03 15:00:00;;Wheat;47775.2;Silo10
Cr1315;2024-03-03 15:00:00;;Rice;44073.1;Silo30
Cr1258;2024-03-03 15:00:00;;Other;64366.4;Silo14
Cr1313;2024-03-03 15:00:00;;Potato;53928.7;Silo19
Cr1410;2024-03-03 15:00:00;;Corn;46092.8;Silo12
Cr1469;2024-03-03 15:00:00;;Other;29209.9;Silo28
Cr181;2024-03-03 15:00:00;;Other;55336.3;Silo27
Cr361;2024-03-03 15:00:00;;Other;36819.6;Silo75
Cr13;2024-03-03 15:00:00;;Corn;45679.5;Silo85
Cr1953;2024-03-03 15:00:00;;Other;32855.2;Silo52
Cr315;2024-03-03 15:00:00;;Potato;56883.3;Silo63
Cr1170;2024-03-03 15:00:00;;Wheat;37858.9;Silo31
Cr1792;2024-03-03 15:00:00;;Wheat;35988.0;Silo34
Cr1034;2024-03-03 15:00:00;;Corn;32946.4;Silo98
Cr1308;2024-03-03 15:00:00;;Potato;63713.4;Silo27
Cr741;2024-03-03 15:00:00;;Other;49761.7;Silo14
Cr1303;2024-03-03 15:00:00;;Corn;32329.7;Silo29
Cr1076;2024-03-03 15:00:00;;Rice;45652.5;Silo45
Cr838;2024-03-03 15:00:00;;Potato;57698.4;Silo17
Cr389;2024-03-03 15:00:00;;Corn;55456.6;Silo64
Cr176;2024-03-03 15:00:00;;Wheat;28049.9;Silo49
Cr1293;2024-03-03 15:00:00;;Rice;47258.4;Silo46
Cr440;2024-03-03 15:00:00;;Corn;56165.0;Silo55
Cr1406;2024-03-03 15:00:00;;Rice;61403.9;Silo81
Cr411;2024-03-03 15:00:00;;Other;31229.0;Silo31
Cr938;2024-03-03 15:00:00;;Corn;54003.7;Silo27
Cr1296;2024-03-03 15:00:00;;Corn;49521.5;Silo45
Cr1667;2024-03-03 15:00:00;;Wheat;31640.9;Silo65
Cr1629;2024-03-03 15:00:00;;Corn;25912.4;Silo99
Cr227;2024-03-03 15:00:00;;Rice;48850.1;Silo32
Cr1819;2024-03-03 15:00:00;;Corn;35830.7;Silo34
Cr1281;2024-03-03 15:00:00;;Wheat;55394.4;Silo32
Cr972;2024-03-03 15:00:00;;Rice;41843.1;Silo88
Cr1078;2024-03-03 15:00:00;;Potato;40901.8;Silo19
Cr650;2024-03-03 15:00:00;;Rice;52839.5;Silo50
Cr589;2024-03-03 15:00:00;;Rice;32642.9;Silo5
Cr729;2024-03-03 15:00:00;;Rice;44560.9;Silo15
Cr602;2024-03-03 15:00:00;;Rice;41738.9;Silo25
Cr1185;2024-03-03 15:00:00;;Rice;54794.4;Silo46
Cr1570;2024-03-03 15:00:00;;Potato;38191.9;Silo28
Cr740;2024-03-03 15:00:00;;Wheat;33134.7;Silo84
Cr781;2024-03-03 15:00:00;;Corn;54517.4;Silo32
Cr1317;2024-03-03 15:00:00;;Corn;38952.7;Silo43
Cr1624;2024-03-03 15:00:00;;Rice;45079.8;Silo59
Cr1432;2024-03-03 15:00:00;;Corn;36283.0;Silo87
Cr354;2024-03-03 15:00:00;;Other;42549.6;Silo33
Cr487;2024-03-03 15:00:00;;Corn;64692.5;Silo70
Cr190;2024-03-03 15:00:00;;Corn;27692.6;Silo22
Cr931;2024-03-03 15:00:00;;Other;50984.2;Silo18
Cr582;2024-03-03 15:00:00;;Other;38341.8;Silo40
Cr350;2024-03-03 15:00:00;;Corn;30756.6;Silo88
Cr1733;2024-03-03 15:00:00;;Wheat;42157.9;Silo74
Cr1092;2024-03-03 15:00:00;;Potato;61890.8;Silo1
Cr283;2024-03-03 15:00:00;;Potato;52878.8;Silo40
Cr532;2024-03-03 15:00:00;;Corn;29402.8;Silo19
Cr1280;2024-03-03 15:00:00;;Potato;41726.0;Silo59
Cr1228;2024-03-03 15:00:00;;Potato;43116.7;Silo69
Cr109;2024-03-03 15:00:00;;Corn;27123.6;Silo55
Cr1865;2024-03-03 15:00:00;;Wheat;28354.9;Silo25
Cr1484;2024-03-03 15:00:00;;Other;34111.6;Silo71
Cr1288;2024-03-03 15:00:00;;Wheat;46374.3;Silo90
Cr1621;2024-03-03 15:00:00;;Potato;55312.5;Silo30
Cr1400;2024-03-03 15:00:00;;Other;32192.9;Silo19
Cr663;2024-03-03 15:00:00;;Potato;43271.2;Silo11
Cr585;2024-03-03 15:00:00;;Corn;56234.4;Silo50
Cr1374;2024-03-03 15:00:00;;Potato;27015.8;Silo64
Cr1969;2024-03-03 15:00:00;;Potato;62413.7;Silo53
Cr699;2024-03-03 15:00:00;;Potato;59681.2;Silo15
Cr49;2024-03-03 15:00:00;;Potato;39963.9;Silo79
Cr1193;2024-03-03 15:00:00;;Potato;35128.9;Silo23
Cr1706;2024-03-03 15:00:00;;Rice;41770.9;Silo93
Cr213;2024-03-03 15:00:00;;Potato;43111.0;Silo53
Cr1608;2024-03-03 15:00:00;;Wheat;32561.8;Silo23
Cr773;2024-03-03 15:00:00;;Corn;42512.8;Silo42
Cr269;2024-03-03 15:00:00;;Other;51584.7;Silo47
Cr1259;2024-03-03 15:00:00;;Rice;49757.4;Silo16
Cr102;2024-03-03 15:00:00;;Corn;42586.1;Silo10
Cr700;2024-03-03 15:00:00;;Wheat;60788.5;Silo29
Cr320;2024-03-03 15:00:00;;Corn;42740.8;Silo2
Cr79;2024-03-03 15:00:00;;Corn;38786.8;Silo93
Cr1939;2024-03-03 15:00:00;;Wheat;41147.0;Silo29
Cr800;2024-03-03 15:00:00;;Corn;31632.7;Silo48
Cr1104;2024-03-03 15:00:00;;Rice;64957.8;Silo95
Cr173;2024-03-03 15:00:00;;Corn;58991.3;Silo86
Cr665;2024-03-03 15:00:00;;Rice;42269.9;Silo81
Cr480;2024-03-03 15:00:00;;Potato;62996.0;Silo91
Cr1688;2024-03-03 15:00:00;;Wheat;30733.0;Silo86
Cr1800;2024-03-03 15:00:00;;Corn;64193.7;Silo23
Cr1851;2024-03-03 15:00:00;;Corn;36314.2;Silo87
Cr1291;2024-03-03 15:00:00;;Other;50244.2;Silo36
Cr1694;2024-03-03 15:00:00;;Rice;33621.8;Silo79
Cr940;2024-03-03 15:00:00;;Other;52023.7;Silo92
Cr924;2024-03-03 15:00:00;;Other;50348.3;Silo1
Cr1106;2024-03-03 15:00:00;;Potato;38541.7;Silo35
Cr909;2024-03-03 15:00:00;;Other;36603.0;Silo86
Cr1148;2024-03-03 15:00:00;;Corn;47579.5;Silo64
Cr1084;2024-03-03 15:00:00;;Other;25536.6;Silo87
Cr746;2024-03-03 15:00:00;;Other;61977.2;Silo66
Cr565;2024-03-03 15:00:00;;Other;60353.1;Silo47
Cr910;2024-03-03 15:00:00;;Other;36933.6;Silo28
Cr110;2024-03-03 15:00:00;;Wheat;34099.5;Silo68
Cr260;2024-03-03 15:00:00;;Corn;29296.7;Silo68
Cr237;2024-03-03 15:00:00;;Other;58108.5;Silo57
Cr1746;2024-03-03 15:00:00;;Wheat;40923.1;Silo57
Cr128;2024-03-03 15:00:00;;Other;57325.3;Silo71
Cr203;2024-03-03 15:00:00;;Rice;39827.2;Silo56
Cr284;2024-03-03 15:00:00;;Corn;51937.8;Silo95
Cr1704;2024-03-03 15:00:00;;Corn;47097.0;Silo46
Cr857;2024-03-03 15:00:00;;Potato;41084.4;Silo31
Cr1723;2024-03-03 15:00:00;;Potato;28886.3;Silo79
Cr506;2024-03-03 15:00:00;;Corn;52873.4;Silo89
Cr780;2024-03-03 15:00:00;;Corn;62521.9;Silo67
Cr1835;2024-03-03 15:00:00;;Wheat;32604.0;Silo38
Cr1997;2024-03-03 15:00:00;;Rice;33063.8;Silo47
Cr386;2024-03-03 15:00:00;;Potato;46658.4;Silo84
Cr1830;2024-03-03 15:00:00;;Wheat;54187.1;Silo71
Cr1652;2024-03-03 15:00:00;;Potato;58263.5;Silo60
Cr490;2024-03-03 15:00:00;;Corn;29609.3;Silo56
Cr914;2024-03-03 15:00:00;;Corn;63731.4;Silo94
Cr1253;2024-03-03 15:00:00;;Wheat;38351.0;Silo92
Cr1404;2024-03-03 15:00:00;;Other;55372.7;Silo73
Cr1250;2024-03-03 15:00:00;;Rice;36467.3;Silo44
Cr91;2024-03-03 15:00:00;;Corn;25026.0;Silo93
Cr86;2024-03-03 15:00:00;;Rice;63800.7;Silo79
Cr90;2024-03-03 15:00:00;;Corn;49648.5;Silo27
Cr1651;2024-03-03 15:00:00;;Corn;54761.0;Silo67
Cr1878;2024-03-03 15:00:00;;Other;64614.3;Silo17
Cr782;2024-03-03 15:00:00;;Corn;47060.7;Silo20
Cr647;2024-03-03 15:00:00;;Potato;51717.3;Silo50
Cr326;2024-03-03 15:00:00;;Potato;50660.0;Silo24
Cr963;2024-03-03 15:00:00;;Rice;62379.6;Silo59
Cr1720;2024-03-03 15:00:00;;Corn;28381.9;Silo86
Cr262;2024-03-03 15:00:00;;Rice;47488.4;Silo8
Cr799;2024-03-03 15:00:00;;Rice;63105.8;Silo15
Cr1771;2024-03-03 15:00:00;;Wheat;52005.7;Silo57
Cr232;2024-03-03 15:00:00;;Other;26190.8;Silo65
Cr1872;2024-03-03 15:00:00;;Corn;44084.0;Silo85
Cr1054;2024-03-03 15:00:00;;Other;41569.7;Silo45
Cr1991;2024-03-03 15:00:00;;Wheat;54321.6;Silo52
Cr674;2024-03-03 15:00:00;;Rice;57335.2;Silo43
Cr1813;2024-03-03 15:00:00;;Rice;61632.1;Silo46
Cr1063;2024-03-03 15:00:00;;Wheat;55273.4;Silo13
Cr676;2024-03-03 15:00:00;;Potato;25478.2;Silo80
Cr43;2024-03-03 15:00:00;;Other;37745.1;Silo67
Cr1048;2024-03-03 15:00:00;;Potato;64151.2;Silo90
Cr17;2024-03-03 15:00:00;;Wheat;54926.0;Silo44
Cr641;2024-03-03 15:00:00;;Potato;62937.9;Silo83
Cr1943;2024-03-03 15:00:00;;Rice;51910.7;Silo43
Cr870;2024-03-03 15:00:00;;Wheat;53980.8;Silo42
Cr1837;2024-03-03 15:00:00;;Wheat;49607.5;Silo6
Cr450;2024-03-03 15:00:00;;Other;27998.3;Silo74
