ocel_id;ocel_time;ocel_changed_field;Amount of Containers;Status
td44;2023-06-23 01:42:16;;3
td26;2023-06-23 11:00:00;Status;;shipped
td32;2023-06-23 11:00:00;Status;;shipped
td30;2023-06-23 11:00:00;Status;;shipped
td16;2023-06-23 11:00:00;Status;;shipped
td7;2023-06-23 11:00:00;Status;;shipped
td43;2023-06-23 12:20:22;Status;;in transit
td45;2023-06-23 20:09:22;;4
td44;2023-06-24 02:28:23;Status;;in transit
td46;2023-06-24 06:02:08;;3
td45;2023-06-25 06:18:32;Status;;in transit
td46;2023-06-25 11:14:23;Status;;in transit
td47;2023-06-27 01:20:19;;3
td48;2023-06-27 07:55:20;;5
td21;2023-06-27 11:00:00;Status;;shipped
td34;2023-06-27 11:00:00;Status;;shipped
td22;2023-06-27 11:00:00;Status;;shipped
td28;2023-06-27 11:00:00;Status;;shipped
td23;2023-06-27 11:00:00;Status;;shipped
td49;2023-06-27 22:49:03;;5
td50;2023-06-28 03:28:59;;4
td47;2023-06-28 17:58:07;Status;;in transit
td51;2023-06-29 00:30:40;;4
td52;2023-06-29 06:22:20;;1
td50;2023-06-29 16:58:30;Status;;in transit
td53;2023-06-30 01:54:54;;3
td54;2023-06-30 07:16:06;;2
td49;2023-06-30 09:29:23;Status;;in transit
td25;2023-06-30 11:00:00;Status;;shipped
td31;2023-06-30 11:00:00;Status;;shipped
td19;2023-06-30 11:00:00;Status;;shipped
td52;2023-06-30 18:22:00;Status;;in transit
td48;2023-06-30 22:39:43;Status;;in transit
td55;2023-07-01 01:28:18;;3
td53;2023-07-02 00:27:50;Status;;in transit
td55;2023-07-02 05:17:58;Status;;in transit
td51;2023-07-02 10:08:38;Status;;in transit
td54;2023-07-02 12:37:42;Status;;in transit
td56;2023-07-03 22:11:18;;4
td57;2023-07-04 04:18:28;;1
td39;2023-07-04 11:00:00;Status;;shipped
td29;2023-07-04 11:00:00;Status;;shipped
td41;2023-07-04 11:00:00;Status;;shipped
td33;2023-07-04 11:00:00;Status;;shipped
td57;2023-07-04 15:36:28;Status;;in transit
td58;2023-07-04 20:24:26;;2
td56;2023-07-04 22:40:43;Status;;in transit
td59;2023-07-05 03:05:57;;4
td58;2023-07-05 08:25:54;Status;;in transit
td60;2023-07-06 00:20:35;;2
td59;2023-07-06 03:12:17;Status;;in transit
td61;2023-07-06 05:36:39;;2
td60;2023-07-06 10:02:44;Status;;in transit
td61;2023-07-06 18:03:24;Status;;in transit
td62;2023-07-06 22:36:47;;5
td63;2023-07-07 07:28:23;;5
td54;2023-07-07 11:00:00;Status;;shipped
td40;2023-07-07 11:00:00;Status;;shipped
td35;2023-07-07 11:00:00;Status;;shipped
td38;2023-07-07 11:00:00;Status;;shipped
td53;2023-07-07 11:00:00;Status;;shipped
td36;2023-07-07 11:00:00;Status;;shipped
td64;2023-07-07 23:19:59;;3
td63;2023-07-09 03:22:15;Status;;in transit
td62;2023-07-09 08:09:45;Status;;in transit
td64;2023-07-09 13:11:21;Status;;in transit
td65;2023-07-10 20:29:54;;4
td66;2023-07-11 02:46:54;;2
td44;2023-07-11 11:00:00;Status;;shipped
td45;2023-07-11 11:00:00;Status;;shipped
td46;2023-07-11 11:00:00;Status;;shipped
td43;2023-07-11 11:00:00;Status;;shipped
td48;2023-07-11 11:00:00;Status;;shipped
td66;2023-07-11 16:11:20;Status;;in transit
td65;2023-07-11 22:54:04;Status;;in transit
td67;2023-07-11 22:55:08;;4
td68;2023-07-12 03:54:07;;2
td68;2023-07-12 20:35:21;Status;;in transit
td69;2023-07-12 23:47:03;;5
td70;2023-07-13 03:05:38;;5
td67;2023-07-13 03:12:59;Status;;in transit
td71;2023-07-13 21:50:55;;5
td72;2023-07-14 05:23:49;;3
td58;2023-07-14 11:00:00;Status;;shipped
td55;2023-07-14 11:00:00;Status;;shipped
td42;2023-07-14 11:00:00;Status;;shipped
td56;2023-07-14 11:00:00;Status;;shipped
td47;2023-07-14 11:00:00;Status;;shipped
td37;2023-07-14 11:00:00;Status;;shipped
td70;2023-07-14 17:03:51;Status;;in transit
td73;2023-07-14 22:34:31;;2
td69;2023-07-15 01:20:21;Status;;in transit
td73;2023-07-15 20:37:03;Status;;in transit
td71;2023-07-16 05:44:41;Status;;in transit
td72;2023-07-16 10:13:37;Status;;in transit
td74;2023-07-17 22:25:16;;3
td75;2023-07-18 02:21:43;;1
td50;2023-07-18 11:00:00;Status;;shipped
td65;2023-07-18 11:00:00;Status;;shipped
td63;2023-07-18 11:00:00;Status;;shipped
td49;2023-07-18 11:00:00;Status;;shipped
td74;2023-07-18 12:17:14;Status;;in transit
td75;2023-07-18 16:04:11;Status;;in transit
td76;2023-07-18 23:16:33;;2
td77;2023-07-19 02:57:33;;3
td77;2023-07-19 20:02:19;Status;;in transit
td76;2023-07-19 22:15:19;Status;;in transit
td78;2023-07-19 23:48:58;;5
td79;2023-07-20 01:44:49;;5
td80;2023-07-20 22:22:51;;4
td81;2023-07-21 06:17:58;;4
td52;2023-07-21 11:00:00;Status;;shipped
td75;2023-07-21 11:00:00;Status;;shipped
td64;2023-07-21 11:00:00;Status;;shipped
td60;2023-07-21 11:00:00;Status;;shipped
td59;2023-07-21 11:00:00;Status;;shipped
td71;2023-07-21 11:00:00;Status;;shipped
td82;2023-07-21 22:37:49;;2
td78;2023-07-22 00:25:34;Status;;in transit
td79;2023-07-22 04:35:52;Status;;in transit
td81;2023-07-23 01:33:06;Status;;in transit
td82;2023-07-23 04:20:16;Status;;in transit
td80;2023-07-23 08:38:08;Status;;in transit
td83;2023-07-24 18:47:08;;4
td84;2023-07-25 03:04:03;;4
td61;2023-07-25 11:00:00;Status;;shipped
td57;2023-07-25 11:00:00;Status;;shipped
td62;2023-07-25 11:00:00;Status;;shipped
td51;2023-07-25 11:00:00;Status;;shipped
td83;2023-07-25 16:51:57;Status;;in transit
td85;2023-07-25 20:12:59;;5
td86;2023-07-26 02:03:22;;2
td87;2023-07-26 18:13:14;;5
td84;2023-07-26 20:19:32;Status;;in transit
td88;2023-07-27 03:19:08;;4
td85;2023-07-27 05:35:57;Status;;in transit
td89;2023-07-27 17:54:19;;3
td90;2023-07-28 02:31:42;;5
td86;2023-07-28 08:57:38;Status;;in transit
td66;2023-07-28 11:00:00;Status;;shipped
td68;2023-07-28 11:00:00;Status;;shipped
td80;2023-07-28 11:00:00;Status;;shipped
td91;2023-07-28 22:00:48;;2
td92;2023-07-29 04:25:38;;2
td89;2023-07-29 09:35:38;Status;;in transit
td88;2023-07-29 15:30:02;Status;;in transit
td91;2023-07-31 00:15:59;Status;;in transit
td90;2023-07-31 08:26:07;Status;;in transit
td92;2023-07-31 12:36:29;Status;;in transit
td87;2023-07-31 16:33:09;Status;;in transit
td93;2023-07-31 22:32:05;;4
td94;2023-08-01 05:13:41;;2
td91;2023-08-01 11:00:00;Status;;shipped
td82;2023-08-01 11:00:00;Status;;shipped
td85;2023-08-01 11:00:00;Status;;shipped
td73;2023-08-01 11:00:00;Status;;shipped
td81;2023-08-01 11:00:00;Status;;shipped
td67;2023-08-01 11:00:00;Status;;shipped
td70;2023-08-01 11:00:00;Status;;shipped
td94;2023-08-01 19:23:17;Status;;in transit
td95;2023-08-01 22:53:33;;4
td93;2023-08-01 23:26:25;Status;;in transit
td96;2023-08-02 05:15:53;;5
td97;2023-08-02 22:08:28;;2
td98;2023-08-03 04:19:35;;5
td99;2023-08-03 22:48:53;;5
td100;2023-08-04 06:28:35;;3
td101;2023-08-05 04:57:49;;4
td98;2023-08-05 13:28:34;Status;;in transit
td96;2023-08-06 06:03:16;Status;;in transit
td100;2023-08-06 12:13:55;Status;;in transit
td99;2023-08-07 00:26:33;Status;;in transit
td95;2023-08-07 03:22:03;Status;;in transit
td101;2023-08-07 18:42:44;Status;;in transit
td102;2023-08-07 22:45:15;;5
td97;2023-08-07 23:06:14;Status;;in transit
td103;2023-08-08 02:34:35;;4
td90;2023-08-08 11:00:00;Status;;shipped
td77;2023-08-08 11:00:00;Status;;shipped
td76;2023-08-08 11:00:00;Status;;shipped
td79;2023-08-08 11:00:00;Status;;shipped
td72;2023-08-08 11:00:00;Status;;shipped
td69;2023-08-08 11:00:00;Status;;shipped
td104;2023-08-09 00:12:44;;1
td105;2023-08-09 07:20:23;;4
td102;2023-08-09 13:21:13;Status;;in transit
td106;2023-08-10 01:03:47;;5
td107;2023-08-10 04:06:06;;2
td103;2023-08-10 08:46:37;Status;;in transit
td108;2023-08-10 23:38:06;;3
td104;2023-08-11 00:20:56;Status;;in transit
td109;2023-08-11 05:19:12;;3
td74;2023-08-11 11:00:00;Status;;shipped
td86;2023-08-11 11:00:00;Status;;shipped
td83;2023-08-11 11:00:00;Status;;shipped
td87;2023-08-11 11:00:00;Status;;shipped
td110;2023-08-12 00:21:43;;5
td108;2023-08-12 17:56:26;Status;;in transit
td107;2023-08-13 01:19:46;Status;;in transit
td105;2023-08-13 13:04:09;Status;;in transit
td106;2023-08-13 17:15:41;Status;;in transit
td109;2023-08-14 09:51:33;Status;;in transit
td110;2023-08-14 13:48:16;Status;;in transit
td111;2023-08-14 22:17:54;;2
td112;2023-08-15 06:35:49;;3
td111;2023-08-15 08:12:45;Status;;in transit
td94;2023-08-15 11:00:00;Status;;shipped
td92;2023-08-15 11:00:00;Status;;shipped
td96;2023-08-15 11:00:00;Status;;shipped
td78;2023-08-15 11:00:00;Status;;shipped
td102;2023-08-15 11:00:00;Status;;shipped
td97;2023-08-15 11:00:00;Status;;shipped
td103;2023-08-15 11:00:00;Status;;shipped
td107;2023-08-15 11:00:00;Status;;shipped
td112;2023-08-15 22:15:31;Status;;in transit
td113;2023-08-16 00:28:27;;5
td114;2023-08-16 05:07:58;;3
td115;2023-08-16 20:51:07;;2
td116;2023-08-17 06:40:06;;3
td115;2023-08-17 12:17:42;Status;;in transit
td113;2023-08-17 22:36:31;Status;;in transit
td117;2023-08-17 23:40:43;;5
td114;2023-08-18 02:13:58;Status;;in transit
td118;2023-08-18 03:33:14;;2
td116;2023-08-18 06:11:36;Status;;in transit
td84;2023-08-18 11:00:00;Status;;shipped
td100;2023-08-18 11:00:00;Status;;shipped
td93;2023-08-18 11:00:00;Status;;shipped
td101;2023-08-18 11:00:00;Status;;shipped
td89;2023-08-18 11:00:00;Status;;shipped
td98;2023-08-18 11:00:00;Status;;shipped
td119;2023-08-19 01:47:32;;5
td118;2023-08-19 06:03:45;Status;;in transit
td117;2023-08-19 15:13:13;Status;;in transit
td119;2023-08-20 07:00:43;Status;;in transit
td120;2023-08-21 23:23:39;;3
td121;2023-08-22 02:35:34;;2
td109;2023-08-22 11:00:00;Status;;shipped
td95;2023-08-22 11:00:00;Status;;shipped
td105;2023-08-22 11:00:00;Status;;shipped
td111;2023-08-22 11:00:00;Status;;shipped
td108;2023-08-22 11:00:00;Status;;shipped
td99;2023-08-22 11:00:00;Status;;shipped
td88;2023-08-22 11:00:00;Status;;shipped
td121;2023-08-22 13:04:04;Status;;in transit
td120;2023-08-22 16:17:22;Status;;in transit
td122;2023-08-22 19:53:10;;2
td123;2023-08-23 04:32:46;;5
td122;2023-08-23 06:29:18;Status;;in transit
td124;2023-08-23 19:41:19;;4
td123;2023-08-24 00:45:38;Status;;in transit
td125;2023-08-24 01:20:04;;3
td125;2023-08-24 21:40:30;Status;;in transit
td126;2023-08-24 22:11:45;;5
td127;2023-08-25 01:49:02;;4
td124;2023-08-25 05:10:20;Status;;in transit
td128;2023-08-25 20:20:52;;5
td129;2023-08-26 06:52:49;;3
td127;2023-08-27 11:56:28;Status;;in transit
td126;2023-08-27 17:36:22;Status;;in transit
td129;2023-08-27 21:05:46;Status;;in transit
td128;2023-08-28 11:33:05;Status;;in transit
td130;2023-08-28 22:46:51;;2
td131;2023-08-29 05:59:12;;2
td130;2023-08-29 10:48:06;Status;;in transit
td116;2023-08-29 11:00:00;Status;;shipped
td106;2023-08-29 11:00:00;Status;;shipped
td112;2023-08-29 11:00:00;Status;;shipped
td131;2023-08-29 18:59:57;Status;;in transit
td132;2023-08-30 01:31:00;;3
td133;2023-08-30 06:57:55;;2
td133;2023-08-30 23:14:45;Status;;in transit
td134;2023-08-31 00:43:40;;4
td132;2023-08-31 03:28:01;Status;;in transit
td135;2023-08-31 07:49:15;;4
td134;2023-09-01 00:21:49;Status;;in transit
td136;2023-09-01 00:33:58;;3
td137;2023-09-01 05:48:24;;1
td117;2023-09-01 11:00:00;Status;;shipped
td110;2023-09-01 11:00:00;Status;;shipped
td119;2023-09-01 11:00:00;Status;;shipped
td135;2023-09-01 14:19:17;Status;;in transit
td137;2023-09-02 00:01:16;Status;;in transit
td138;2023-09-02 02:37:54;;2
td136;2023-09-02 10:11:11;Status;;in transit
td138;2023-09-02 19:10:47;Status;;in transit
td139;2023-09-04 21:47:08;;4
td140;2023-09-05 05:29:12;;4
td104;2023-09-05 11:00:00;Status;;shipped
td118;2023-09-05 11:00:00;Status;;shipped
td123;2023-09-05 11:00:00;Status;;shipped
td120;2023-09-05 11:00:00;Status;;shipped
td122;2023-09-05 11:00:00;Status;;shipped
td125;2023-09-05 11:00:00;Status;;shipped
td114;2023-09-05 11:00:00;Status;;shipped
td141;2023-09-05 22:03:29;;5
td140;2023-09-06 01:45:58;Status;;in transit
td142;2023-09-06 03:16:59;;1
td139;2023-09-06 19:19:35;Status;;in transit
td143;2023-09-06 22:51:05;;5
td142;2023-09-07 00:03:51;Status;;in transit
td144;2023-09-07 05:03:43;;1
td145;2023-09-07 22:55:09;;3
td141;2023-09-08 03:57:01;Status;;in transit
td146;2023-09-08 05:00:48;;4
td129;2023-09-08 11:00:00;Status;;shipped
td131;2023-09-08 11:00:00;Status;;shipped
td126;2023-09-08 11:00:00;Status;;shipped
td128;2023-09-08 11:00:00;Status;;shipped
td135;2023-09-08 11:00:00;Status;;shipped
td143;2023-09-08 16:07:20;Status;;in transit
td147;2023-09-09 01:16:05;;5
td145;2023-09-09 02:30:47;Status;;in transit
td144;2023-09-09 07:10:04;Status;;in transit
td146;2023-09-10 03:27:29;Status;;in transit
td147;2023-09-10 10:11:07;Status;;in transit
td148;2023-09-11 21:22:00;;1
td149;2023-09-12 03:30:31;;5
td148;2023-09-12 04:04:37;Status;;in transit
td127;2023-09-12 11:00:00;Status;;shipped
td115;2023-09-12 11:00:00;Status;;shipped
td137;2023-09-12 11:00:00;Status;;shipped
td113;2023-09-12 11:00:00;Status;;shipped
td121;2023-09-12 11:00:00;Status;;shipped
td132;2023-09-12 11:00:00;Status;;shipped
td146;2023-09-12 11:00:00;Status;;shipped
td124;2023-09-12 11:00:00;Status;;shipped
td144;2023-09-12 11:00:00;Status;;shipped
td150;2023-09-12 20:22:09;;2
td149;2023-09-12 22:19:56;Status;;in transit
td151;2023-09-13 03:11:38;;4
td150;2023-09-13 06:00:47;Status;;in transit
td151;2023-09-13 20:18:59;Status;;in transit
td152;2023-09-14 00:29:47;;4
td153;2023-09-14 03:09:39;;2
td153;2023-09-14 14:54:39;Status;;in transit
td152;2023-09-14 21:23:52;Status;;in transit
td154;2023-09-14 21:51:47;;5
td155;2023-09-15 03:37:07;;5
td130;2023-09-15 11:00:00;Status;;shipped
td138;2023-09-15 11:00:00;Status;;shipped
td141;2023-09-15 11:00:00;Status;;shipped
td156;2023-09-16 00:30:54;;3
td155;2023-09-16 18:05:34;Status;;in transit
td156;2023-09-16 20:56:20;Status;;in transit
td154;2023-09-17 01:07:08;Status;;in transit
td157;2023-09-18 19:53:41;;3
td158;2023-09-19 04:18:59;;3
td157;2023-09-19 07:38:24;Status;;in transit
td142;2023-09-19 11:00:00;Status;;shipped
td134;2023-09-19 11:00:00;Status;;shipped
td133;2023-09-19 11:00:00;Status;;shipped
td139;2023-09-19 11:00:00;Status;;shipped
td158;2023-09-19 17:40:07;Status;;in transit
td159;2023-09-19 19:59:49;;1
td159;2023-09-20 02:54:49;Status;;in transit
td160;2023-09-20 03:59:08;;4
td161;2023-09-20 21:39:57;;4
td160;2023-09-20 22:29:33;Status;;in transit
td162;2023-09-21 04:04:39;;2
td161;2023-09-21 21:45:45;Status;;in transit
td163;2023-09-22 00:06:10;;4
td162;2023-09-22 01:42:28;Status;;in transit
td164;2023-09-22 04:20:48;;2
td136;2023-09-22 11:00:00;Status;;shipped
td154;2023-09-22 11:00:00;Status;;shipped
td164;2023-09-23 00:46:13;Status;;in transit
td165;2023-09-23 01:27:28;;4
td163;2023-09-23 05:32:13;Status;;in transit
td165;2023-09-24 00:38:21;Status;;in transit
td166;2023-09-25 20:57:31;;1
td167;2023-09-26 00:30:31;;5
td166;2023-09-26 03:42:50;Status;;in transit
td152;2023-09-26 11:00:00;Status;;shipped
td160;2023-09-26 11:00:00;Status;;shipped
td155;2023-09-26 11:00:00;Status;;shipped
td145;2023-09-26 11:00:00;Status;;shipped
td168;2023-09-26 19:44:58;;3
td167;2023-09-26 23:52:40;Status;;in transit
td169;2023-09-27 02:10:55;;4
td168;2023-09-27 19:39:16;Status;;in transit
td170;2023-09-27 19:54:20;;5
td171;2023-09-28 00:35:17;;3
td169;2023-09-28 09:02:43;Status;;in transit
td172;2023-09-28 19:43:20;;4
td173;2023-09-29 01:11:42;;5
td170;2023-09-29 03:00:58;Status;;in transit
td150;2023-09-29 11:00:00;Status;;shipped
td158;2023-09-29 11:00:00;Status;;shipped
td140;2023-09-29 11:00:00;Status;;shipped
td163;2023-09-29 11:00:00;Status;;shipped
td174;2023-09-29 19:03:59;;3
td175;2023-09-30 03:29:45;;3
td172;2023-10-01 16:53:27;Status;;in transit
td173;2023-10-01 21:57:18;Status;;in transit
td175;2023-10-02 02:27:15;Status;;in transit
td174;2023-10-02 06:47:34;Status;;in transit
td171;2023-10-02 09:50:57;Status;;in transit
td176;2023-10-03 00:29:39;;2
td177;2023-10-03 07:52:02;;3
td151;2023-10-03 11:00:00;Status;;shipped
td148;2023-10-03 11:00:00;Status;;shipped
td153;2023-10-03 11:00:00;Status;;shipped
td147;2023-10-03 11:00:00;Status;;shipped
td143;2023-10-03 11:00:00;Status;;shipped
td176;2023-10-03 12:03:54;Status;;in transit
td178;2023-10-03 22:31:40;;5
td177;2023-10-04 00:56:19;Status;;in transit
td179;2023-10-04 06:44:03;;3
td180;2023-10-05 01:12:00;;3
td178;2023-10-05 04:40:53;Status;;in transit
td181;2023-10-05 04:45:34;;3
td180;2023-10-05 21:22:20;Status;;in transit
td182;2023-10-06 02:28:12;;4
td179;2023-10-06 05:27:49;Status;;in transit
td183;2023-10-06 07:17:55;;5
td157;2023-10-06 11:00:00;Status;;shipped
td149;2023-10-06 11:00:00;Status;;shipped
td166;2023-10-06 11:00:00;Status;;shipped
td168;2023-10-06 11:00:00;Status;;shipped
td162;2023-10-06 11:00:00;Status;;shipped
td181;2023-10-06 14:56:21;Status;;in transit
td184;2023-10-07 02:47:56;;3
td182;2023-10-07 22:05:22;Status;;in transit
td184;2023-10-08 13:52:25;Status;;in transit
td183;2023-10-08 18:56:55;Status;;in transit
td185;2023-10-09 22:35:46;;4
td186;2023-10-10 02:47:30;;3
td159;2023-10-10 11:00:00;Status;;shipped
td172;2023-10-10 11:00:00;Status;;shipped
td169;2023-10-10 11:00:00;Status;;shipped
td165;2023-10-10 11:00:00;Status;;shipped
td167;2023-10-10 11:00:00;Status;;shipped
td161;2023-10-10 11:00:00;Status;;shipped
td186;2023-10-10 21:40:01;Status;;in transit
td187;2023-10-10 22:42:37;;3
td185;2023-10-11 05:42:19;Status;;in transit
td188;2023-10-11 06:04:05;;4
td189;2023-10-12 01:27:14;;5
td187;2023-10-12 05:25:09;Status;;in transit
td190;2023-10-12 05:56:00;;4
td191;2023-10-13 00:09:25;;5
td192;2023-10-13 06:36:04;;5
td180;2023-10-13 11:00:00;Status;;shipped
td182;2023-10-13 11:00:00;Status;;shipped
td175;2023-10-13 11:00:00;Status;;shipped
td156;2023-10-13 11:00:00;Status;;shipped
td177;2023-10-13 11:00:00;Status;;shipped
td181;2023-10-13 11:00:00;Status;;shipped
td189;2023-10-13 16:54:34;Status;;in transit
td193;2023-10-14 02:59:45;;5
td191;2023-10-15 06:54:09;Status;;in transit
td190;2023-10-15 20:10:20;Status;;in transit
td192;2023-10-16 09:25:25;Status;;in transit
td188;2023-10-16 13:43:25;Status;;in transit
td193;2023-10-16 18:12:20;Status;;in transit
td194;2023-10-16 19:48:23;;1
td195;2023-10-17 01:51:41;;4
td194;2023-10-17 03:41:57;Status;;in transit
td174;2023-10-17 11:00:00;Status;;shipped
td164;2023-10-17 11:00:00;Status;;shipped
td196;2023-10-17 20:45:18;;4
td195;2023-10-17 23:05:37;Status;;in transit
td197;2023-10-18 02:20:04;;3
td198;2023-10-18 22:30:27;;4
td196;2023-10-19 00:18:58;Status;;in transit
td199;2023-10-19 03:30:52;;2
td197;2023-10-19 07:33:31;Status;;in transit
td199;2023-10-19 21:48:42;Status;;in transit
td200;2023-10-20 00:28:00;;1
td201;2023-10-20 02:59:40;;2
td176;2023-10-20 11:00:00;Status;;shipped
td195;2023-10-20 11:00:00;Status;;shipped
td173;2023-10-20 11:00:00;Status;;shipped
td198;2023-10-20 16:41:30;Status;;in transit
td201;2023-10-20 21:51:07;Status;;in transit
td202;2023-10-21 00:16:07;;5
td200;2023-10-21 02:40:25;Status;;in transit
td202;2023-10-22 05:16:24;Status;;in transit
td203;2023-10-23 21:25:30;;5
td204;2023-10-24 05:19:58;;3
td171;2023-10-24 11:00:00;Status;;shipped
td191;2023-10-24 11:00:00;Status;;shipped
td170;2023-10-24 11:00:00;Status;;shipped
td187;2023-10-24 11:00:00;Status;;shipped
td205;2023-10-24 22:04:58;;1
td206;2023-10-25 02:30:46;;3
td204;2023-10-25 06:38:48;Status;;in transit
td203;2023-10-25 19:05:27;Status;;in transit
td207;2023-10-25 21:25:43;;4
td206;2023-10-25 23:39:55;Status;;in transit
td208;2023-10-26 03:24:29;;3
td205;2023-10-26 04:07:32;Status;;in transit
td209;2023-10-26 21:52:09;;5
td210;2023-10-27 05:43:13;;3
td203;2023-10-27 11:00:00;Status;;shipped
td178;2023-10-27 11:00:00;Status;;shipped
td211;2023-10-28 01:13:34;;2
td209;2023-10-28 10:08:55;Status;;in transit
td208;2023-10-28 20:22:21;Status;;in transit
td211;2023-10-29 05:24:33;Status;;in transit
td210;2023-10-29 10:52:47;Status;;in transit
td207;2023-10-29 16:22:55;Status;;in transit
td212;2023-10-30 19:00:14;;3
td213;2023-10-31 02:58:12;;5
td214;2023-10-31 08:18:43;;2
td199;2023-10-31 11:00:00;Status;;shipped
td179;2023-10-31 11:00:00;Status;;shipped
td189;2023-10-31 11:00:00;Status;;shipped
td183;2023-10-31 11:00:00;Status;;shipped
td188;2023-10-31 11:00:00;Status;;shipped
td185;2023-10-31 11:00:00;Status;;shipped
td212;2023-10-31 20:36:42;Status;;in transit
td215;2023-11-01 00:14:44;;3
td216;2023-11-01 05:59:45;;3
td214;2023-11-01 14:27:18;Status;;in transit
td217;2023-11-02 01:52:14;;1
td218;2023-11-02 05:51:54;;4
td213;2023-11-02 12:29:33;Status;;in transit
td217;2023-11-02 16:37:16;Status;;in transit
td219;2023-11-03 02:06:54;;2
td216;2023-11-03 04:56:36;Status;;in transit
