ocel_id;ocel_time;ocel_changed_field;weight;price
Echo Plus;2023-06-02 11:39:36;price;;154.94
Echo Studio;2023-06-02 11:39:36;price;;206.59
Fire Stick;2023-06-02 11:39:36;price;;41.31
Fire Stick 4K;2023-06-02 11:39:36;price;;92.96
Kindle;2023-06-02 11:39:36;price;;82.63
Kindle Paperwhite;2023-06-02 11:39:36;price;;133.26
iPhone 11 Pro;2023-08-01 17:20:52;price;;1247.13
iPhone 11;2023-08-01 17:20:52;price;;867.24
iPhone X;2023-08-01 17:20:52;price;;758.7
iPhone 8;2023-08-01 17:20:52;price;;574.18
iPad Pro;2023-08-01 17:20:52;price;;1192.86
iPad Air;2023-08-01 17:20:52;price;;516.65
iPad;2023-08-01 17:20:52;price;;537.28
iPad mini;2023-08-01 17:20:52;price;;487.35
MacBook Air;2023-08-01 17:20:52;price;;2387.88
MacBook Pro;2023-08-01 17:20:52;price;;2713.5
Echo Show 5;2023-08-01 17:20:52;price;;97.68
Echo Show 8;2023-08-01 17:20:52;price;;141.09
Echo Dot;2023-08-01 17:20:52;price;;32.55
Echo;2023-08-01 17:20:52;price;;108.53
Echo Plus;2023-08-01 17:20:52;price;;162.8
Echo Studio;2023-08-01 17:20:52;price;;217.07
Fire Stick;2023-08-01 17:20:52;price;;43.41
Fire Stick 4K;2023-08-01 17:20:52;price;;97.68
Kindle;2023-08-01 17:20:52;price;;86.82
Kindle Paperwhite;2023-08-01 17:20:52;price;;140.02
iPhone 11 Pro;2023-09-30 18:00:03;price;;1272.18
iPhone 11;2023-09-30 18:00:03;price;;884.66
iPhone X;2023-09-30 18:00:03;price;;773.94
iPhone 8;2023-09-30 18:00:03;price;;585.71
iPad Pro;2023-09-30 18:00:03;price;;1216.82
iPad Air;2023-09-30 18:00:03;price;;527.03
iPad;2023-09-30 18:00:03;price;;548.07
iPad mini;2023-09-30 18:00:03;price;;497.14
MacBook Air;2023-09-30 18:00:03;price;;2435.84
MacBook Pro;2023-09-30 18:00:03;price;;2768.0
Echo Show 5;2023-09-30 18:00:03;price;;99.64
Echo Show 8;2023-09-30 18:00:03;price;;143.92
Echo Dot;2023-09-30 18:00:03;price;;33.2
Echo;2023-09-30 18:00:03;price;;110.71
Echo Plus;2023-09-30 18:00:03;price;;166.07
Echo Studio;2023-09-30 18:00:03;price;;221.43
Fire Stick;2023-09-30 18:00:03;price;;44.28
Fire Stick 4K;2023-09-30 18:00:03;price;;99.64
Kindle;2023-09-30 18:00:03;price;;88.56
Kindle Paperwhite;2023-09-30 18:00:03;price;;142.83
iPhone 11 Pro;2023-12-01 08:10:05;price;;1327.33
iPhone 11;2023-12-01 08:10:05;price;;923.01
iPhone X;2023-12-01 08:10:05;price;;807.49
iPhone 8;2023-12-01 08:10:05;price;;611.1
iPad Pro;2023-12-01 08:10:05;price;;1269.57
iPad Air;2023-12-01 08:10:05;price;;549.88
iPad;2023-12-01 08:10:05;price;;571.83
iPad mini;2023-12-01 08:10:05;price;;518.69
MacBook Air;2023-12-01 08:10:05;price;;2541.44
MacBook Pro;2023-12-01 08:10:05;price;;2888.0
Echo Show 5;2023-12-01 08:10:05;price;;103.96
Echo Show 8;2023-12-01 08:10:05;price;;150.16
Echo Dot;2023-12-01 08:10:05;price;;34.64
Echo;2023-12-01 08:10:05;price;;115.51
Echo Plus;2023-12-01 08:10:05;price;;173.27
Echo Studio;2023-12-01 08:10:05;price;;231.03
Fire Stick;2023-12-01 08:10:05;price;;46.2
Fire Stick 4K;2023-12-01 08:10:05;price;;103.96
Kindle;2023-12-01 08:10:05;price;;92.4
Kindle Paperwhite;2023-12-01 08:10:05;price;;149.02
