ocel_id;ocel_time;ocel_changed_field
hu208;2023-05-30 14:51:59;
hu207;2023-05-30 15:06:09;
hu211;2023-05-30 16:22:39;
hu213;2023-05-30 16:36:49;
hu214;2023-05-30 16:50:59;
hu212;2023-05-30 17:05:09;
hu215;2023-05-31 02:34:39;
hu216;2023-05-31 02:50:04;
hu217;2023-05-31 03:05:29;
hu218;2023-05-31 03:20:54;
hu224;2023-05-31 04:44:11;
hu223;2023-05-31 04:59:36;
hu220;2023-05-31 05:15:01;
hu222;2023-05-31 05:30:26;
hu221;2023-05-31 05:45:51;
hu219;2023-05-31 06:01:16;
hu225;2023-05-31 07:27:39;
hu226;2023-05-31 07:43:04;
hu230;2023-05-31 07:58:29;
hu229;2023-05-31 08:13:54;
hu228;2023-05-31 08:29:44;
hu227;2023-05-31 08:45:34;
hu232;2023-05-31 10:14:10;
hu235;2023-05-31 10:30:00;
hu234;2023-05-31 10:45:50;
hu233;2023-05-31 11:01:40;
hu236;2023-05-31 11:17:30;
hu231;2023-05-31 11:33:20;
hu237;2023-06-01 02:42:40;
hu240;2023-06-01 02:56:00;
hu238;2023-06-01 03:09:45;
hu239;2023-06-01 03:23:30;
hu241;2023-06-01 04:37:47;
hu243;2023-06-01 04:51:32;
hu244;2023-06-01 05:05:17;
hu246;2023-06-01 05:19:02;
hu242;2023-06-01 05:32:47;
hu245;2023-06-01 05:46:32;
hu247;2023-06-01 08:23:19;
hu252;2023-06-01 08:37:29;
hu248;2023-06-01 08:52:29;
hu249;2023-06-01 09:07:29;
hu251;2023-06-01 09:22:29;
hu250;2023-06-01 09:37:29;
hu254;2023-06-01 11:02:19;
hu253;2023-06-01 11:17:19;
hu255;2023-06-01 11:32:19;
hu257;2023-06-01 12:51:49;
hu259;2023-06-01 13:06:49;
hu256;2023-06-01 13:21:49;
hu258;2023-06-01 13:36:49;
hu261;2023-06-01 13:51:49;
hu260;2023-06-01 14:06:49;
hu263;2023-06-02 03:14:39;
hu267;2023-06-02 03:30:54;
hu262;2023-06-02 03:47:59;
hu265;2023-06-02 04:05:04;
hu266;2023-06-02 04:22:09;
hu264;2023-06-02 04:39:14;
hu272;2023-06-02 06:14:57;
hu271;2023-06-02 06:32:02;
hu269;2023-06-02 06:49:07;
hu270;2023-06-02 07:06:12;
hu268;2023-06-02 07:23:17;
hu273;2023-06-02 07:40:22;
hu278;2023-06-02 09:16:05;
hu274;2023-06-02 09:33:10;
hu275;2023-06-02 09:51:55;
hu276;2023-06-02 10:10:40;
hu277;2023-06-02 10:29:25;
hu279;2023-06-02 10:48:10;
hu280;2023-06-02 12:33:13;
hu281;2023-06-02 12:51:58;
hu285;2023-06-02 14:29:29;
hu282;2023-06-02 14:48:14;
hu283;2023-06-02 15:06:59;
hu284;2023-06-02 15:25:44;
hu287;2023-06-02 15:44:29;
hu286;2023-06-02 16:03:14;
hu288;2023-06-02 17:48:17;
hu289;2023-06-02 18:07:02;
hu291;2023-06-02 18:25:47;
hu292;2023-06-02 18:44:32;
hu293;2023-06-02 19:03:17;
hu290;2023-06-02 19:22:02;
hu296;2023-06-02 21:07:05;
hu295;2023-06-02 21:25:50;
hu297;2023-06-02 21:44:35;
hu299;2023-06-02 22:03:20;
hu294;2023-06-02 22:22:05;
hu298;2023-06-02 22:40:50;
hu303;2023-06-03 00:25:53;
hu304;2023-06-03 00:44:38;
hu302;2023-06-03 01:03:23;
hu305;2023-06-03 01:22:08;
hu301;2023-06-03 01:40:53;
hu300;2023-06-03 01:59:38;
hu306;2023-06-03 03:44:41;
hu307;2023-06-03 04:03:26;
hu308;2023-06-03 05:40:57;
hu311;2023-06-03 06:01:22;
hu309;2023-06-03 06:21:47;
hu310;2023-06-03 06:42:12;
hu313;2023-06-03 07:02:37;
hu312;2023-06-03 07:23:02;
hu317;2023-06-03 09:17:25;
hu318;2023-06-03 09:37:50;
hu314;2023-06-03 09:58:15;
hu316;2023-06-03 10:18:40;
hu315;2023-06-03 10:39:05;
hu319;2023-06-03 10:59:30;
hu320;2023-06-03 12:53:53;
hu321;2023-06-03 13:14:18;
hu323;2023-06-03 15:00:29;
hu326;2023-06-03 15:20:54;
hu327;2023-06-03 15:41:19;
hu322;2023-06-03 16:01:44;
hu324;2023-06-03 16:22:09;
hu325;2023-06-03 16:42:34;
hu328;2023-06-06 01:33:04;
hu334;2023-06-06 03:07:27;
hu329;2023-06-06 03:26:12;
hu330;2023-06-06 03:44:57;
hu332;2023-06-06 04:03:42;
hu333;2023-06-06 04:22:27;
hu331;2023-06-06 04:41:12;
hu336;2023-06-06 06:26:15;
hu338;2023-06-06 06:45:00;
hu339;2023-06-06 07:03:45;
hu335;2023-06-06 07:22:30;
hu340;2023-06-06 07:42:55;
hu337;2023-06-06 08:03:20;
hu344;2023-06-06 09:59:13;
hu343;2023-06-06 10:19:38;
hu346;2023-06-06 10:40:03;
hu342;2023-06-06 11:00:28;
hu345;2023-06-06 11:20:53;
hu341;2023-06-06 11:41:18;
hu352;2023-06-06 13:35:41;
hu348;2023-06-06 13:56:06;
hu351;2023-06-06 14:16:31;
hu349;2023-06-06 14:36:56;
hu347;2023-06-06 14:57:21;
hu350;2023-06-06 15:17:46;
hu353;2023-06-06 17:12:09;
hu358;2023-06-06 17:32:34;
hu355;2023-06-06 17:52:59;
hu354;2023-06-06 18:13:24;
hu357;2023-06-06 18:33:49;
hu356;2023-06-06 18:54:14;
hu361;2023-06-06 20:48:37;
hu364;2023-06-06 21:09:02;
hu359;2023-06-06 21:29:27;
hu362;2023-06-06 21:49:52;
hu360;2023-06-06 22:10:17;
hu363;2023-06-06 22:30:42;
hu370;2023-06-07 00:25:05;
hu367;2023-06-07 00:45:30;
hu368;2023-06-07 01:05:55;
hu366;2023-06-07 01:26:20;
hu369;2023-06-07 01:46:45;
hu365;2023-06-07 02:09:15;
hu374;2023-06-07 04:14:39;
hu371;2023-06-07 04:37:09;
hu373;2023-06-07 04:59:39;
hu372;2023-06-07 05:22:09;
hu376;2023-06-07 07:23:39;
hu377;2023-06-07 07:47:24;
hu379;2023-06-07 08:11:09;
hu375;2023-06-07 08:34:54;
hu380;2023-06-07 08:58:39;
hu378;2023-06-07 09:22:24;
hu381;2023-06-07 11:35:27;
hu382;2023-06-07 11:59:12;
hu384;2023-06-07 12:22:57;
hu385;2023-06-07 12:46:42;
hu383;2023-06-07 13:10:27;
hu386;2023-06-07 13:34:12;
hu391;2023-06-07 15:47:15;
hu389;2023-06-07 16:11:00;
hu387;2023-06-07 16:34:45;
hu388;2023-06-07 16:58:30;
hu392;2023-06-07 17:22:15;
hu390;2023-06-07 17:46:00;
hu393;2023-06-07 19:59:03;
hu394;2023-06-07 20:22:48;
hu396;2023-06-07 20:46:33;
hu398;2023-06-07 21:10:18;
hu395;2023-06-07 21:34:03;
hu397;2023-06-07 21:57:48;
hu404;2023-06-08 00:10:51;
hu403;2023-06-08 00:34:36;
hu400;2023-06-08 00:58:21;
hu402;2023-06-08 01:22:06;
hu399;2023-06-08 01:45:51;
hu401;2023-06-08 02:07:06;
hu408;2023-06-08 04:09:23;
hu406;2023-06-08 04:31:28;
hu409;2023-06-08 04:53:33;
hu407;2023-06-08 05:15:38;
hu410;2023-06-08 05:37:43;
hu405;2023-06-08 05:59:48;
hu412;2023-06-08 08:03:31;
hu413;2023-06-08 08:27:16;
hu415;2023-06-08 08:51:01;
hu414;2023-06-08 09:14:46;
hu411;2023-06-08 09:38:31;
hu416;2023-06-08 10:02:16;
hu420;2023-06-08 12:15:19;
hu419;2023-06-08 12:39:04;
hu418;2023-06-08 13:02:49;
hu422;2023-06-08 13:26:34;
hu417;2023-06-08 13:50:19;
hu421;2023-06-08 14:14:04;
hu426;2023-06-08 16:27:07;
hu425;2023-06-08 16:50:52;
hu427;2023-06-08 17:14:37;
hu424;2023-06-08 17:38:22;
hu423;2023-06-08 18:02:07;
hu432;2023-06-08 20:12:47;
hu430;2023-06-08 20:36:32;
hu431;2023-06-08 21:00:17;
hu433;2023-06-08 21:24:02;
hu429;2023-06-08 21:47:47;
hu428;2023-06-08 22:11:32;
hu434;2023-06-09 00:24:35;
hu436;2023-06-09 00:48:20;
hu439;2023-06-09 01:12:05;
hu437;2023-06-09 01:35:50;
hu435;2023-06-09 01:59:35;
hu438;2023-06-09 02:24:10;
hu440;2023-06-09 04:42:29;
hu441;2023-06-09 05:07:04;
hu445;2023-06-09 07:14:53;
hu442;2023-06-09 07:39:28;
hu447;2023-06-09 08:04:53;
hu443;2023-06-09 08:30:18;
hu444;2023-06-09 08:55:43;
hu446;2023-06-09 09:21:08;
hu448;2023-06-09 11:43:31;
hu449;2023-06-09 12:08:56;
hu450;2023-06-09 12:34:21;
hu456;2023-06-09 14:49:05;
hu455;2023-06-09 15:14:30;
hu453;2023-06-09 15:39:55;
hu451;2023-06-09 16:05:20;
hu452;2023-06-09 16:30:45;
hu454;2023-06-09 16:56:10;
hu460;2023-06-09 19:18:33;
hu458;2023-06-09 19:43:58;
hu459;2023-06-09 20:09:23;
hu462;2023-06-09 20:34:48;
hu457;2023-06-09 21:00:13;
hu461;2023-06-09 21:25:38;
hu467;2023-06-09 23:48:01;
hu466;2023-06-10 00:13:26;
hu464;2023-06-10 00:38:51;
hu463;2023-06-10 01:04:16;
hu465;2023-06-10 01:29:41;
hu468;2023-06-10 01:55:06;
hu470;2023-06-10 04:17:29;
hu472;2023-06-10 04:44:34;
hu474;2023-06-10 05:11:39;
hu469;2023-06-10 05:38:44;
hu471;2023-06-10 06:05:49;
hu473;2023-06-10 06:32:54;
hu480;2023-06-10 09:04:37;
hu475;2023-06-10 09:31:42;
hu476;2023-06-10 09:58:47;
hu479;2023-06-10 10:25:52;
hu477;2023-06-10 10:52:57;
hu478;2023-06-10 11:20:02;
hu482;2023-06-10 13:51:45;
hu485;2023-06-10 14:18:50;
hu486;2023-06-10 14:45:55;
hu481;2023-06-10 15:13:00;
hu484;2023-06-10 15:40:05;
hu483;2023-06-10 16:07:10;
hu492;2023-06-10 18:38:53;
hu489;2023-06-10 19:05:58;
hu491;2023-06-10 19:33:03;
hu490;2023-06-10 20:00:08;
hu488;2023-06-10 20:27:13;
hu487;2023-06-10 20:54:18;
hu494;2023-06-10 23:26:01;
hu495;2023-06-10 23:53:06;
hu493;2023-06-11 00:20:11;
hu500;2023-06-12 23:32:37;
hu499;2023-06-12 23:52:37;
hu501;2023-06-13 00:12:37;
hu497;2023-06-13 00:32:37;
hu496;2023-06-13 00:52:37;
hu498;2023-06-13 01:12:37;
hu502;2023-06-13 03:04:37;
hu503;2023-06-13 05:03:13;
hu508;2023-06-13 05:23:38;
hu506;2023-06-13 05:44:53;
hu504;2023-06-13 06:06:08;
hu507;2023-06-13 06:27:23;
hu505;2023-06-13 06:48:38;
hu513;2023-06-13 08:47:35;
hu512;2023-06-13 09:08:50;
hu510;2023-06-13 09:30:05;
hu511;2023-06-13 09:51:20;
hu509;2023-06-13 10:12:35;
hu514;2023-06-13 10:33:50;
hu517;2023-06-13 12:32:47;
hu519;2023-06-13 12:54:02;
hu515;2023-06-13 13:15:17;
hu516;2023-06-13 13:36:32;
hu520;2023-06-13 13:57:47;
hu518;2023-06-13 14:19:02;
hu524;2023-06-13 23:05:42;
hu526;2023-06-13 23:27:47;
hu523;2023-06-13 23:49:52;
hu525;2023-06-14 00:11:57;
hu521;2023-06-14 00:34:02;
hu522;2023-06-14 00:56:07;
hu527;2023-06-14 02:59:50;
hu528;2023-06-14 03:21:55;
hu530;2023-06-14 03:44:00;
hu529;2023-06-14 04:06:05;
hu535;2023-06-14 06:05:22;
hu532;2023-06-14 06:28:42;
hu536;2023-06-14 06:52:02;
hu533;2023-06-14 07:15:22;
hu534;2023-06-14 07:38:42;
hu531;2023-06-14 08:02:02;
hu540;2023-06-14 10:12:42;
hu542;2023-06-14 10:36:02;
hu539;2023-06-14 10:59:22;
hu541;2023-06-14 11:22:42;
hu537;2023-06-14 11:46:02;
hu538;2023-06-14 12:09:22;
hu543;2023-06-14 14:20:02;
hu544;2023-06-14 23:55:41;
hu547;2023-06-15 00:12:46;
hu548;2023-06-15 00:31:56;
hu546;2023-06-15 00:51:06;
hu549;2023-06-15 01:10:16;
hu545;2023-06-15 01:29:26;
hu554;2023-06-15 03:16:46;
hu550;2023-06-15 03:35:56;
hu555;2023-06-15 03:55:06;
hu551;2023-06-15 04:14:16;
hu553;2023-06-15 04:33:26;
hu552;2023-06-15 04:52:36;
hu559;2023-06-15 06:39:56;
hu558;2023-06-15 07:01:11;
hu561;2023-06-15 07:22:26;
hu557;2023-06-15 07:43:41;
hu560;2023-06-15 08:04:56;
hu556;2023-06-15 08:26:11;
hu566;2023-06-15 10:25:08;
hu565;2023-06-15 10:46:23;
hu567;2023-06-15 11:07:38;
hu562;2023-06-15 11:28:53;
hu564;2023-06-15 11:50:08;
hu563;2023-06-15 12:11:23;
hu573;2023-06-15 14:10:20;
hu568;2023-06-15 14:31:35;
hu569;2023-06-15 14:52:50;
hu570;2023-06-15 15:14:05;
hu572;2023-06-15 15:35:20;
hu571;2023-06-15 15:56:35;
hu575;2023-06-15 17:55:32;
hu577;2023-06-15 18:16:47;
hu574;2023-06-15 18:38:02;
hu578;2023-06-15 18:59:17;
hu576;2023-06-15 19:20:32;
hu582;2023-06-15 21:17:22;
hu579;2023-06-15 21:38:37;
hu580;2023-06-15 21:59:52;
hu581;2023-06-15 22:21:07;
hu584;2023-06-15 22:42:22;
hu583;2023-06-15 23:03:37;
hu589;2023-06-16 01:02:34;
hu586;2023-06-16 01:25:29;
hu588;2023-06-16 01:47:59;
hu590;2023-06-16 02:10:29;
hu585;2023-06-16 02:32:59;
hu587;2023-06-16 02:55:29;
hu591;2023-06-16 05:01:29;
hu595;2023-06-16 05:23:59;
hu593;2023-06-16 05:46:29;
hu592;2023-06-16 06:08:59;
hu596;2023-06-16 06:31:29;
hu594;2023-06-16 06:54:49;
hu600;2023-06-16 09:06:09;
hu599;2023-06-16 09:29:29;
hu597;2023-06-16 09:52:49;
hu598;2023-06-16 10:16:09;
hu606;2023-06-16 12:22:09;
hu603;2023-06-16 12:45:29;
hu604;2023-06-16 13:08:49;
hu605;2023-06-16 13:32:09;
hu601;2023-06-16 13:55:29;
hu602;2023-06-16 14:18:49;
hu607;2023-06-16 16:29:29;
hu609;2023-06-16 16:52:49;
hu610;2023-06-16 17:16:09;
hu612;2023-06-16 17:39:29;
hu608;2023-06-16 18:02:49;
hu611;2023-06-16 18:26:09;
hu615;2023-06-16 20:36:49;
hu614;2023-06-16 21:00:09;
hu616;2023-06-16 21:23:29;
hu613;2023-06-16 21:46:49;
hu621;2023-06-16 23:52:49;
hu619;2023-06-17 00:16:09;
hu617;2023-06-17 00:39:29;
hu618;2023-06-17 01:02:49;
hu622;2023-06-17 01:26:09;
hu620;2023-06-17 01:50:19;
hu624;2023-06-17 04:05:24;
hu626;2023-06-17 04:29:34;
hu627;2023-06-17 04:53:19;
hu628;2023-06-17 05:17:04;
hu623;2023-06-17 05:40:49;
hu625;2023-06-17 06:04:34;
hu633;2023-06-17 08:17:37;
hu629;2023-06-17 08:41:22;
hu632;2023-06-17 09:05:07;
hu631;2023-06-17 09:28:52;
hu630;2023-06-17 09:52:37;
hu634;2023-06-17 10:16:22;
hu637;2023-06-17 12:39:55;
hu635;2023-06-17 13:05:20;
hu640;2023-06-17 13:30:45;
hu638;2023-06-17 13:56:10;
hu639;2023-06-17 14:21:35;
hu636;2023-06-17 14:47:00;
hu642;2023-06-17 17:09:23;
hu644;2023-06-17 17:34:48;
hu643;2023-06-17 18:00:13;
hu641;2023-06-17 18:25:38;
hu646;2023-06-17 20:42:55;
hu648;2023-06-17 21:08:20;
hu647;2023-06-17 21:33:45;
hu645;2023-06-17 21:59:10;
hu649;2023-06-17 22:24:35;
hu650;2023-06-17 22:50:00;
hu653;2023-06-18 01:12:23;
hu651;2023-06-18 01:37:48;
hu654;2023-06-18 02:03:13;
hu652;2023-06-18 02:28:38;
hu657;2023-06-18 04:45:55;
hu658;2023-06-18 05:11:20;
hu659;2023-06-18 05:36:45;
hu660;2023-06-18 06:02:10;
hu656;2023-06-18 06:27:35;
hu655;2023-06-18 06:53:00;
hu661;2023-06-18 09:15:23;
hu663;2023-06-18 09:40:48;
hu665;2023-06-18 10:06:13;
hu666;2023-06-18 10:31:38;
hu662;2023-06-18 10:57:03;
hu664;2023-06-18 11:22:28;
hu669;2023-06-20 04:23:14;
hu671;2023-06-20 04:48:14;
hu667;2023-06-20 05:13:14;
hu668;2023-06-20 05:38:14;
hu672;2023-06-20 06:03:14;
hu670;2023-06-20 06:28:14;
hu676;2023-06-20 08:48:14;
hu678;2023-06-20 09:13:14;
hu677;2023-06-20 09:38:14;
hu673;2023-06-20 10:03:14;
hu674;2023-06-20 10:28:14;
hu675;2023-06-20 10:53:14;
hu682;2023-06-20 13:18:21;
hu681;2023-06-20 13:44:36;
hu680;2023-06-20 14:10:51;
hu679;2023-06-20 14:37:06;
hu684;2023-06-20 15:03:21;
hu683;2023-06-20 15:29:36;
hu685;2023-06-20 17:56:33;
hu686;2023-06-20 18:22:48;
hu688;2023-06-20 20:39:17;
hu690;2023-06-20 21:05:32;
hu689;2023-06-20 21:31:47;
hu687;2023-06-20 21:58:02;
hu692;2023-06-20 22:24:17;
hu691;2023-06-20 22:50:32;
hu693;2023-06-21 01:17:29;
hu695;2023-06-21 03:31:21;
hu694;2023-06-21 03:57:36;
hu699;2023-06-21 04:23:51;
hu697;2023-06-21 04:50:06;
hu696;2023-06-21 05:17:36;
hu698;2023-06-21 05:45:06;
hu702;2023-06-21 08:18:50;
hu705;2023-06-21 08:46:20;
hu700;2023-06-21 09:13:50;
hu703;2023-06-21 09:41:20;
hu701;2023-06-21 10:08:50;
hu704;2023-06-21 10:36:20;
hu706;2023-06-21 13:15:20;
hu710;2023-06-21 15:44:05;
hu708;2023-06-21 16:13:15;
hu707;2023-06-21 16:42:25;
hu709;2023-06-21 17:11:35;
hu711;2023-06-21 17:40:45;
hu712;2023-06-21 18:09:55;
hu714;2023-06-21 20:53:15;
hu716;2023-06-21 21:19:05;
hu715;2023-06-21 21:44:30;
hu713;2023-06-21 22:09:55;
hu718;2023-06-21 22:34:55;
hu717;2023-06-21 22:59:30;
hu721;2023-06-22 01:15:40;
hu724;2023-06-22 01:39:50;
hu719;2023-06-22 02:04:00;
hu720;2023-06-22 02:28:10;
hu722;2023-06-22 02:52:20;
hu723;2023-06-22 03:16:30;
hu725;2023-06-22 05:31:50;
hu726;2023-06-22 05:57:15;
hu727;2023-06-22 06:22:40;
hu728;2023-06-22 06:48:05;
hu729;2023-06-22 07:13:30;
hu730;2023-06-22 07:38:55;
hu733;2023-06-22 10:01:18;
hu736;2023-06-22 10:26:43;
hu732;2023-06-22 10:52:08;
hu731;2023-06-22 11:17:33;
hu735;2023-06-22 11:42:58;
hu734;2023-06-22 12:08:23;
hu740;2023-06-22 14:30:46;
hu739;2023-06-22 14:56:11;
hu741;2023-06-22 15:21:36;
hu738;2023-06-22 15:47:01;
hu742;2023-06-22 16:12:26;
hu737;2023-06-22 16:37:51;
hu745;2023-06-22 19:00:14;
hu744;2023-06-22 19:25:39;
hu743;2023-06-22 19:51:04;
hu750;2023-06-22 22:05:48;
hu747;2023-06-22 22:31:13;
hu748;2023-06-22 22:56:38;
hu749;2023-06-22 23:22:03;
hu746;2023-06-22 23:47:28;
hu756;2023-06-23 02:12:25;
hu755;2023-06-23 02:39:05;
hu754;2023-06-23 03:05:45;
hu752;2023-06-23 03:32:25;
hu751;2023-06-23 03:59:05;
hu753;2023-06-23 04:25:45;
hu761;2023-06-23 06:55:05;
hu758;2023-06-23 07:23:25;
hu759;2023-06-23 07:51:45;
hu760;2023-06-23 08:20:05;
hu757;2023-06-23 08:48:25;
hu764;2023-06-23 11:24:15;
hu763;2023-06-23 11:52:35;
hu767;2023-06-23 12:20:55;
hu766;2023-06-23 12:49:15;
hu762;2023-06-23 13:17:35;
hu765;2023-06-23 13:45:55;
hu771;2023-06-23 16:24:35;
hu773;2023-06-23 16:52:55;
hu768;2023-06-23 17:21:15;
hu769;2023-06-23 17:49:35;
hu772;2023-06-23 18:17:55;
hu770;2023-06-23 18:46:15;
hu776;2023-06-23 21:24:55;
hu777;2023-06-23 21:53:15;
